Catalogador,id,Categoría,name,type,desc,atk,def,level,race,attribute,archetype,set_tag,setcode,ban_tcg,ban_ocg,ban_goat,image_url,image_url_small,booster_oficial,LON,LOD,PGD,MFC,DCR
Nico,14261867,SR,8-Claws Scorpion,Effect Monster,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",300,200,2,Insect,DARK,,"PGD-024,GLD1-EN007,","Pharaonic Guardian,Gold Series,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/14261867.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/14261867.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Nico,24140059,SR,A Cat of Ill Omen,Flip Effect Monster,"FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is on the field, you can add the selected card to your hand instead.",500,300,2,Beast,DARK,,"SS01-ENB11,PGD-070,DR1-EN018,","Speed Duel Starter Decks: Destiny Masters,Pharaonic Guardian,Dark Revelation Volume 1,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/24140059.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/24140059.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Eze,6850209,C,A Deal with Dark Ruler,Spell Card,"(This card is always treated as an ""Archfiend"" card.)\nIf a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",,,,Quick-Play,,Archfiend,"DR1-EN192,LCJW-EN241,DCR-030,DCR-EN030,","Dark Revelation Volume 1,Legendary Collection 4: Joey's World Mega Pack,Dark Crisis,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/6850209.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/6850209.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Eze,68170903,R,A Feint Plan,Trap Card,A player cannot attack face-down monsters during this turn.,,,,Normal,,,"LOD-032,LOD-EN032,","Legacy of Darkness,Legacy of Darkness,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/68170903.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/68170903.jpg,LOD,FALSE,TRUE,FALSE,FALSE,FALSE
Eze,295517,R,A Legendary Ocean,Spell Card,"(This card's name is always treated as ""Umi"".)\r\nAll WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,,,Field,,Umi,"LEDU-EN021,HL1-EN003,DB2-EN187,LOD-078,SD4-EN020,SDRE-EN024,RP02-EN062,LOD-EN078,","Legendary Duelists,Hobby League 1 participation cards B,Dark Beginning 2,Legacy of Darkness,Structure Deck: Fury from the Deep,Realm of the Sea Emperor Structure Deck,Retro Pack 2,Legacy of Darkness,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/295517.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/295517.jpg,LOD,FALSE,TRUE,FALSE,FALSE,FALSE
Nico,51351302,R,A Man with Wdjat,Effect Monster,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",1600,1600,4,Spellcaster,DARK,,"PGD-068,DR1-EN016,","Pharaonic Guardian,Dark Revelation Volume 1,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/51351302.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/51351302.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Eze,28596933,R,A Wingbeat of Giant Dragon,Spell Card,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.",,,,Normal,,,"DB2-EN159,SDRL-EN025,SR02-EN027,SDDC-EN028,SDBE-EN023,LOD-044,LOD-EN044,","Dark Beginning 2,Rise of the Dragon Lords Structure Deck,Rise of the True Dragons Structure Deck,Dragons Collide Structure Deck,Saga of Blue-Eyes White Dragon Structure Deck,Legacy of Darkness,Legacy of Darkness,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/28596933.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/28596933.jpg,LOD,FALSE,TRUE,FALSE,FALSE,FALSE
Eze,47372349,R,Acrobat Monkey,Normal Monster,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.,1000,1800,3,Machine,EARTH,,"YSDS-EN004,DCR-003,DR1-EN165,DCR-EN003,","Starter Deck: Syrus Truesdale,Dark Crisis,Dark Revelation Volume 1,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/47372349.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/47372349.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Nico,62325062,SR,Adhesion Trap Hole,Trap Card,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.,,,,Normal,,Hole,"MFC-050,DT01-EN098,DR1-EN105,WGRT-EN083,LCJW-EN274,BPW2-EN083,","Magician's Force,Duel Terminal 1,Dark Revelation Volume 1,War of the Giants Reinforcements,Legendary Collection 4: Joey's World Mega Pack,War of the Giants: Round 2,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/62325062.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/62325062.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,62325062,SR,Adhesion Trap Hole,Trap Card,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.,,,,Normal,,Hole,"MFC-050,DT01-EN098,DR1-EN105,WGRT-EN083,LCJW-EN274,BPW2-EN083,","Magician's Force,Duel Terminal 1,Dark Revelation Volume 1,War of the Giants Reinforcements,Legendary Collection 4: Joey's World Mega Pack,War of the Giants: Round 2,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/62325062.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/62325062.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
