Card number,Name,Rarity,Category,RAW,ID,booster
LOB-EN000,Tri-Horned Dragon,Secret Rare,Normal Monster,39111158,39111158,LOB
LOB-EN001,Blue-Eyes White Dragon,Ultra Rare,Normal Monster,89631139,89631139,LOB
LOB-EN002,Hitotsu-Me Giant,Common,Normal Monster,76184692,76184692,LOB
LOB-EN003,Flame Swordsman,Super Rare,Fusion Monster,45231177,45231177,LOB
LOB-EN004,Skull Servant,Common,Normal Monster,32274490,32274490,LOB
LOB-EN005,Dark Magician,Ultra Rare,Normal Monster,46986414,46986414,LOB
LOB-EN006,Gaia The Fierce Knight,Ultra Rare,Normal Monster,06368038,06368038,LOB
LOB-EN007,Celtic Guardian,Super Rare,Normal Monster,91152256,91152256,LOB
LOB-EN008,Basic Insect,Common,Normal Monster,89091579,89091579,LOB
LOB-EN009,Mammoth Graveyard,Common,Normal Monster,40374923,40374923,LOB
LOB-EN010,Silver Fang,Common,Normal Monster,90357090,90357090,LOB
LOB-EN011,Dark Gray,Common,Normal Monster,9159938,09159938,LOB
LOB-EN012,Trial of Nightmare,Common,Normal Monster,77827521,77827521,LOB
LOB-EN013,Nemuriko,Common,Normal Monster,90963488,90963488,LOB
LOB-EN014,The 13th Grave,Common,Normal Monster,00032864,00032864,LOB
LOB-EN015,Charubin the Fire Knight,Rare,Fusion Monster,37421579,37421579,LOB
LOB-EN016,Flame Manipulator,Common,Normal Monster,34460851,34460851,LOB
LOB-EN017,Monster Egg,Common,Normal Monster,36121917,36121917,LOB
LOB-EN018,Firegrass,Common,Normal Monster,53293545,53293545,LOB
LOB-EN019,Darkfire Dragon,Rare,Fusion Monster,17881964,17881964,LOB
LOB-EN020,Dark King of the Abyss,Common,Normal Monster,53375573,53375573,LOB
LOB-EN021,Fiend Reflection #2,Common,Normal Monster,02863439,02863439,LOB
LOB-EN022,Fusionist,Rare,Fusion Monster,01641882,01641882,LOB
LOB-EN023,Turtle Tiger,Common,Normal Monster,37313348,37313348,LOB
LOB-EN024,Petit Dragon,Common,Normal Monster,75356564,75356564,LOB
LOB-EN025,Petit Angel,Common,Normal Monster,38142739,38142739,LOB
LOB-EN026,Hinotama Soul,Common,Normal Monster,96851799,96851799,LOB
LOB-EN027,Aqua Madoor,Rare,Normal Monster,85639257,85639257,LOB
LOB-EN028,Kagemusha of the Blue Flame,Common,Normal Monster,15401633,15401633,LOB
LOB-EN029,Flame Ghost,Rare,Fusion Monster,58528964,58528964,LOB
LOB-EN030,Two-Mouth Darkruler,Common,Normal Monster,57305373,57305373,LOB
LOB-EN031,Dissolverock,Common,Normal Monster,40826495,40826495,LOB
LOB-EN032,Root Water,Common,Normal Monster,39004808,39004808,LOB
LOB-EN033,The Furious Sea King,Common,Normal Monster,#N/A,#N/A,LOB
LOB-EN034,Green Phantom King,Common,Normal Monster,22910685,22910685,LOB
LOB-EN035,Ray & Temperature,Common,Normal Monster,85309439,85309439,LOB
