"id","name","desc","atk","def","type","level","race","attribute","scale","linkval","linkmarkers","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"32864","The 13th Grave","A zombie that suddenly appeared from plot #13 - an empty grave.","1200","900","Normal Monster","3","Zombie","DARK","null","null","null","null","LOB-014,LOB-E010,LOB-EN014,","Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/32864.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/32864.jpg"
"1435851","Dragon Treasure","A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.","null","null","Spell Card","0","Equip","0","null","null","null","null","SDJ-038,LOB-092,LOB-E072,LOB-EN092,","Starter Deck: Joey,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1435851.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1435851.jpg"
"1557499","Silver Bow and Arrow","A Fairy-Type monster equipped with this card increases its ATK and DEF by 300 points.","null","null","Spell Card","0","Equip","0","null","null","null","null","LOB-091,LOB-E071,LOB-EN091,","Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1557499.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1557499.jpg"
"1641882","Fusionist","""Petit Angel"" + ""Mystical Sheep #2""","900","700","Fusion Monster","3","Beast","EARTH","null","null","null","null","OP03-EN027,LOB-022,LOB-EN022,MRL-E113,","OTS Tournament Pack 3,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1641882.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1641882.jpg"
"1784619","Uraby","Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.","1500","800","Normal Monster","4","Dinosaur","EARTH","null","null","null","null","DB1-EN125,SDK-010,LOB-069,SKE-006,SDP-006,LOB-EN069,LOB-E055,SDK-E009,","Dark Beginning 1,Starter Deck: Kaiba,Legend of Blue Eyes White Dragon,Starter Deck: Kaiba Evolution,Starter Deck: Pegasus,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1784619.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1784619.jpg"
"2863439","Fiend Reflection 2","A bird-beast that summons reinforcements with a hand mirror.","1100","1400","Normal Monster","4","Winged Beast","LIGHT","null","null","null","null","LOB-EN021,LOB-E017,LOB-021,","Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/2863439.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2863439.jpg"
"4206964","Trap Hole","When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster; destroy that target.","null","null","Trap Card","0","Normal","0","null","null","null","Hole","5DS1-EN036,YS12-EN032,SDK-033,YSKR-EN042,YSDS-EN032,YS15-ENL24,YSDJ-EN034,DLG1-EN008,LCJW-EN073,YSYR-EN038,DT02-EN100,SDJ-043,SDP-041,YS14-EN031,SYE-041,SKE-042,DB1-EN118,YS15-ENF24,DL09-EN017,5DS3-EN030,YS11-EN034,RP01-EN007,LCYW-EN177,LOB-058,SDY-027,HL03-EN003,LOB-EN058,YS15-ENY17,LOB-E046,SDY-E025,SDK-E030,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Xyz Symphony,Starter Deck: Kaiba,Starter Deck: Kaiba Reloaded,Starter Deck: Syrus Truesdale,Dark Legion Starter Deck,Starter Deck: Jaden Yuki,Dark Legends,Legendary Collection 4: Joey's World Mega Pack,Starter Deck: Yugi Reloaded,Duel Terminal 2,Starter Deck: Joey,Starter Deck: Pegasus,Super Starter: Space-Time Showdown,Starter Deck: Yugi Evolution,Starter Deck: Kaiba Evolution,Dark Beginning 1,Saber Force Starter Deck,Duelist League 2010 participation cards,Starter Deck: Duelist Toolbox,Starter Deck: Dawn of the Xyz,Retro Pack,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Hobby League 3 participation card C,Legend of Blue Eyes White Dragon,2-Player Starter Deck: Yuya & Declan,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4206964.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4206964.jpg"
"4614116","Dark Energy","Increase the ATK and DEF of a Fiend-Type monster equipped with this card by 300 points.","null","null","Spell Card","0","Equip","0","null","null","null","null","LOB-088,SDK-020,LOB-EN088,LOB-E068,SDK-E019,","Legend of Blue Eyes White Dragon,Starter Deck: Kaiba,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4614116.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4614116.jpg"
"6368038","Gaia The Fierce Knight","A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.","2300","2100","Normal Monster","7","Warrior","EARTH","null","null","null","null","SDY-007,MIL1-EN025,YGLD-ENA05,SYE-007,DLG1-EN005,LCYW-EN002,RP01-EN004,DB1-EN103,LOB-006,LOB-E004,LOB-EN006,SDY-E006,","Starter Deck: Yugi,Millennium Pack,Yugi's Legendary Decks,Starter Deck: Yugi Evolution,Dark Legends,Legendary Collection 3: Yugi's World Mega Pack,Retro Pack,Dark Beginning 1,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/6368038.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/6368038.jpg"
"6368039","Gaia The Fierce Knight","A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.","2300","2100","Normal Monster","7","Warrior","EARTH","null","null","null","null","SDY-007,MIL1-EN025,YGLD-ENA05,SYE-007,DLG1-EN005,LCYW-EN002,RP01-EN004,DB1-EN103,LOB-006,LOB-E004,LOB-EN006,SDY-E006,","Starter Deck: Yugi,Millennium Pack,Yugi's Legendary Decks,Starter Deck: Yugi Evolution,Dark Legends,Legendary Collection 3: Yugi's World Mega Pack,Retro Pack,Dark Beginning 1,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/6368039.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/6368039.jpg"
