"id","name","desc","atk","def","type","level","race","attribute","scale","linkval","linkmarkers","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"62121","Castle of Dark Illusions","FLIP: All Zombie-Type monsters gain 200 ATK and DEF. During each of your next 4 Standby Phases, each of those Zombie-Type monsters gains 200 more ATK and DEF. These effects last as long as this card is face-up on the field.","920","1930","Flip Effect Monster","4","Fiend","DARK","null","null","null","null","MRD-E073,MRD-073,MRD-EN073,","Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/62121.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/62121.jpg"
"549481","Prevent Rat","This creature is shielded with a tough hide of hair and is excellent at defending itself.","500","2000","Normal Monster","4","Beast","EARTH","null","null","null","null","MRD-084,MRD-E084,MRD-EN084,","Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/549481.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/549481.jpg"
"1184620","Kojikocy","A man-hunter with powerful arms that can crush boulders.","1500","1200","Normal Monster","4","Warrior","EARTH","null","null","null","null","DB1-EN147,SDK-009,SKE-005,MRD-010,MRD-E010,MRD-EN010,SDK-E008,","Dark Beginning 1,Starter Deck: Kaiba,Starter Deck: Kaiba Evolution,Metal Raiders,Metal Raiders,Metal Raiders,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1184620.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1184620.jpg"
"2118022","Hyosube","This amphibian is strong on the attack, but leaves much to be desired when defending.","1500","900","Normal Monster","4","Aqua","WATER","null","null","null","null","MRD-054,MRD-E054,MRD-EN054,","Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/2118022.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2118022.jpg"
"2483611","Water Omotics","Transforms the water overflowing from a jar into attacking dragons.","1400","1200","Normal Monster","4","Aqua","WATER","null","null","null","null","MRD-021,MRD-E021,MRD-EN021,","Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/2483611.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2483611.jpg"
"2504891","Skull Knight","""Tainted Wisdom"" + ""Ancient Brain""","2650","2250","Fusion Monster","7","Spellcaster","DARK","null","null","null","null","MRD-123,MRD-E123,MRD-EN123,","Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/2504891.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2504891.jpg"
"3027001","Fake Trap","You can only activate this card when your opponent uses an effect of a Spell, Trap, or Effect Monster to destroy Trap Card(s) on your side of the field. Destroy this card as a substitute of those Trap Card(s) and the other Trap Card(s) are not destroyed. If a Set card(s) would have been destroyed, pick up and see the Set card(s).","null","null","Trap Card","0","Normal","0","null","null","null","null","DB1-EN164,SDJ-049,MRD-056,MRD-E056,MRD-EN056,","Dark Beginning 1,Starter Deck: Joey,Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/3027001.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3027001.jpg"
"3819470","Seven Tools of the Bandit","When a Trap Card is activated: Pay 1000 LP; negate the activation, and if you do, destroy it.","null","null","Trap Card","0","Counter","0","null","null","null","null","5DS1-EN039,YS12-EN038,SS01-ENA18,YSDS-EN034,RP01-EN047,TU05-EN019,DLG1-EN048,SDJ-048,SYE-044,YS11-EN035,YS14-EN040,DB2-EN075,SDP-045,LCYW-EN089,MRD-129,MRD-EN129,MRD-E129,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Xyz Symphony,Speed Duel Starter Decks: Destiny Masters,Starter Deck: Syrus Truesdale,Retro Pack,Turbo Pack: Booster Five,Dark Legends,Starter Deck: Joey,Starter Deck: Yugi Evolution,Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Dark Beginning 2,Starter Deck: Pegasus,Legendary Collection 3: Yugi's World Mega Pack,Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/3819470.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3819470.jpg"
"4031928","Change of Heart","Target 1 monster your opponent controls; take control of it until the End Phase.","null","null","Spell Card","0","Normal","0","null","null","null","null","SKE-032,SDJ-030,SDP-030,SYE-030,SDY-032,BP01-EN037,MRD-060,BP01-EN037,LCYW-EN124,DB1-EN168,MRD-E060,MRD-EN060,SDY-E030,","Starter Deck: Kaiba Evolution,Starter Deck: Joey,Starter Deck: Pegasus,Starter Deck: Yugi Evolution,Starter Deck: Yugi,Battle Pack: Epic Dawn,Metal Raiders,Battle Pack: Epic Dawn,Legendary Collection 3: Yugi's World Mega Pack,Dark Beginning 1,Metal Raiders,Metal Raiders,Starter Deck: Yugi,","Banned","Banned","Banned","https://storage.googleapis.com/ygoprodeck.com/pics/4031928.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4031928.jpg"
"5758500","Soul Release","Target up to 5 cards in any Graveyard(s); banish them.","null","null","Spell Card","0","Normal","0","null","null","null","null","SDDE-EN021,SDP-036,THSF-EN048,DB1-EN166,MRD-058,MRD-E058,MRD-EN058,","The Dark Emperor Structure Deck,Starter Deck: Pegasus,The Secret Forces,Dark Beginning 1,Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/5758500.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5758500.jpg"
