"id","name","desc","atk","def","type","level","race","attribute","scale","linkval","linkmarkers","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"1184620","Kojikocy","A man-hunter with powerful arms that can crush boulders.","1500","1200","Normal Monster","4","Warrior","EARTH","null","null","null","null","DB1-EN147,SDK-009,SKE-005,MRD-010,MRD-E010,MRD-EN010,SDK-E008,","Dark Beginning 1,Starter Deck: Kaiba,Starter Deck: Kaiba Evolution,Metal Raiders,Metal Raiders,Metal Raiders,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1184620.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1184620.jpg"
"1434352","Chaos Necromancer","The ATK of this card is the number of Monster Cards in your Graveyard x 300.","0","0","Effect Monster","1","Fiend","DARK","null","null","null","Chaos","YSKR-EN017,DR2-EN017,BP01-EN183,IOC-017,BP01-EN183,IOC-EN017,","Starter Deck: Kaiba Reloaded,Dark Revelation Volume 2,Battle Pack: Epic Dawn,Invasion of Chaos,Battle Pack: Epic Dawn,Invasion of Chaos,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1434352.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1434352.jpg"
"1784619","Uraby","Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.","1500","800","Normal Monster","4","Dinosaur","EARTH","null","null","null","null","DB1-EN125,SDK-010,LOB-069,SKE-006,SDP-006,LOB-EN069,LOB-E055,SDK-E009,","Dark Beginning 1,Starter Deck: Kaiba,Legend of Blue Eyes White Dragon,Starter Deck: Kaiba Evolution,Starter Deck: Pegasus,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1784619.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1784619.jpg"
"2833249","D. Tribe","All monsters on your side of the field are treated as Dragon-Type until the End Phase of this turn.","null","null","Trap Card","0","Normal","0","null","null","null","null","DR1-EN050,SKE-050,PGD-102,","Dark Revelation Volume 1,Starter Deck: Kaiba Evolution,Pharaonic Guardian,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/2833249.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2833249.jpg"
"4031928","Change of Heart","Target 1 monster your opponent controls; take control of it until the End Phase.","null","null","Spell Card","0","Normal","0","null","null","null","null","SDJ-030,SDP-030,SYE-030,SDY-032,SKE-032,BP01-EN037,MRD-060,BP01-EN037,LCYW-EN124,DB1-EN168,SDY-E030,MRD-E060,MRD-EN060,","Starter Deck: Joey,Starter Deck: Pegasus,Starter Deck: Yugi Evolution,Starter Deck: Yugi,Starter Deck: Kaiba Evolution,Battle Pack: Epic Dawn,Metal Raiders,Battle Pack: Epic Dawn,Legendary Collection 3: Yugi's World Mega Pack,Dark Beginning 1,Starter Deck: Yugi,Metal Raiders,Metal Raiders,","Banned","Banned","Banned","https://storage.googleapis.com/ygoprodeck.com/pics/4031928.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4031928.jpg"
"4206964","Trap Hole","When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster; destroy that target.","null","null","Trap Card","0","Normal","0","null","null","null","Hole","5DS1-EN036,YS12-EN032,SDK-033,YSKR-EN042,YSDS-EN032,YS15-ENL24,YSDJ-EN034,DLG1-EN008,LCJW-EN073,YSYR-EN038,DT02-EN100,SDJ-043,SDP-041,YS14-EN031,SYE-041,SKE-042,DB1-EN118,YS15-ENF24,DL09-EN017,5DS3-EN030,YS11-EN034,RP01-EN007,LCYW-EN177,LOB-058,SDY-027,HL03-EN003,LOB-EN058,YS15-ENY17,LOB-E046,SDY-E025,SDK-E030,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Xyz Symphony,Starter Deck: Kaiba,Starter Deck: Kaiba Reloaded,Starter Deck: Syrus Truesdale,Dark Legion Starter Deck,Starter Deck: Jaden Yuki,Dark Legends,Legendary Collection 4: Joey's World Mega Pack,Starter Deck: Yugi Reloaded,Duel Terminal 2,Starter Deck: Joey,Starter Deck: Pegasus,Super Starter: Space-Time Showdown,Starter Deck: Yugi Evolution,Starter Deck: Kaiba Evolution,Dark Beginning 1,Saber Force Starter Deck,Duelist League 2010 participation cards,Starter Deck: Duelist Toolbox,Starter Deck: Dawn of the Xyz,Retro Pack,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Hobby League 3 participation card C,Legend of Blue Eyes White Dragon,2-Player Starter Deck: Yuya & Declan,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4206964.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4206964.jpg"
"4614116","Dark Energy","Increase the ATK and DEF of a Fiend-Type monster equipped with this card by 300 points.","null","null","Spell Card","0","Equip","0","null","null","null","null","LOB-088,SDK-020,LOB-EN088,LOB-E068,SDK-E019,","Legend of Blue Eyes White Dragon,Starter Deck: Kaiba,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4614116.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4614116.jpg"
"5053103","Battle Ox","A monster with tremendous power, it destroys enemies with a swing of its axe.","1700","1000","Normal Monster","4","Beast-Warrior","EARTH","null","null","null","null","YSKR-EN004,SS02-ENA02,SDK-005,LDK2-ENK09,SKE-002,DEM2-EN004,SDK-E004,","Starter Deck: Kaiba Reloaded,Speed Duel Starter Decks: Duelists of Tomorrow,Starter Deck: Kaiba,Legendary Decks II,Starter Deck: Kaiba Evolution,Demo Deck 2015,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/5053103.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5053103.jpg"
"5318639","Mystical Space Typhoon","Target 1 Spell/Trap on the field; destroy that target.","null","null","Spell Card","0","Quick-Play","0","null","null","null","null","SDWS-EN023,WIRA-EN051,LEHD-ENB23,YS16-EN025,YS18-EN026,YS15-ENL17,SD1-EN011,SD5-EN020,SD6-EN018,YS17-EN024,SD2-EN014,YS12-EN024,HSRD-EN053,SDDE-EN019,YSKR-EN032,SD4-EN016,DP04-EN015,SD3-EN015,YSYR-EN028,RP01-EN057,SD10-EN024,SDP-032,SD7-EN017,SD09-EN023,SD8-EN019,BP01-EN068,SDCR-EN026,LDK2-ENJ32,SYE-037,SDMA-EN020,YS11-EN024,YS14-EN024,DLG1-EN058,YS15-ENF16,SDMP-EN031,YS13-ENV12,MRL-047,BP01-EN068,PGLD-EN079,NKRT-EN040,GLD3-EN040,DT01-EN093,DB1-EN031,DL09-EN014,LCJW-EN285,LCYW-EN062,HL2-EN002,YS15-ENY13,SRL-EN047,SRL-047,GLD5-EN038,MRL-E047,AP08-EN002,YS15-END13,","Warriors' Strike Structure Deck,Wing Raiders,Legendary Hero Decks,Starter Deck: Yuya,Starter Deck: Codebreaker,Dark Legion Starter Deck,Structure Deck: Dragon's Roar,Structure Deck: Warrior's Triumph,Structure Deck: Spellcaster's Judgment,Starter Deck: Link Strike,Structure Deck: Zombie Madness,Starter Deck: Xyz Symphony,High-Speed Riders,The Dark Emperor Structure Deck,Starter Deck: Kaiba Reloaded,Structure Deck: Fury from the Deep,Duelist Pack: Zane Truesdale,Structure Deck: Blaze of Destruction,Starter Deck: Yugi Reloaded,Retro Pack,Structure Deck: Machine Re-Volt,Starter Deck: Pegasus,Structure Deck: Invincible Fortress,Structure Deck: Dinosaur's Rage,Structure Deck: Lord of the Storm,Battle Pack: Epic Dawn,Cyber Dragon Revolution Structure Deck,Legendary Decks II,Starter Deck: Yugi Evolution,Structure Deck: Marik (TCG),Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Dark Legends,Saber Force Starter Deck,Master of Pendulum Structure Deck,Super Starter Power-Up Pack,Magic Ruler,Battle Pack: Epic Dawn,Premium Gold,Noble Knights of the Round Table Power-Up Pack,Gold Series 3,Duel Terminal 1,Dark Beginning 1,Duelist League 2010 participation cards,Legendary Collection 4: Joey's World Mega Pack,Legendary Collection 3: Yugi's World Mega Pack,Hobby League 2 participation card B,2-Player Starter Deck: Yuya & Declan,Spell Ruler,Spell Ruler,Gold Series: Haunted Mine,Spell Ruler,Astral Pack Eight,2-Player Starter Deck: Yuya & Declan,","null","null","Limited","https://storage.googleapis.com/ygoprodeck.com/pics/5318639.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5318639.jpg"
"6285791","The Wicked Worm Beast","This face-up card on the field is returned to the owner's hand during the End Phase of your turn.","1400","700","Effect Monster","3","Beast","EARTH","null","null","null","Worm","DB2-EN090,GLD4-EN003,SDK-004,SDK-E003,","Dark Beginning 2,Gold Series 4: Pyramids Edition,Starter Deck: Kaiba,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/6285791.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/6285791.jpg"
