"id","name","desc","atk","def","type","level","race","attribute","scale","linkval","linkmarkers","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"1995985","Silent Swordsman LV3","Negate your opponent's Spell effects that target this card. During your Standby Phase: You can send this face-up card to the Graveyard; Special Summon 1 ""Silent Swordsman LV5"" from your hand or Deck. You cannot activate this effect the turn this card is Summoned or flipped face-up.","1000","1000","Effect Monster","3","Warrior","LIGHT","null","null","null","Silent Swordsman","YSYR-EN017,DPRP-EN016,YGLD-ENC08,LCYW-EN033,DT05-EN009,RDS-EN009,DR3-EN069,RDS-EN009,","Starter Deck: Yugi Reloaded,Duelist Pack: Rivals of the Pharaoh,Yugi's Legendary Decks,Legendary Collection 3: Yugi's World Mega Pack,Duel Terminal 5a,Rise of Destiny,Dark Revelation Volume 3,Rise of Destiny,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1995985.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1995985.jpg"
"2314238","Dark Magic Attack","If you control ""Dark Magician"": Destroy all Spell and Trap Cards your opponent controls.","null","null","Spell Card","0","Normal","0","null","null","null","Dark Magician","SS01-ENA11,LDK2-ENY28,YSYR-EN032,LCYW-EN071,SDMY-EN026,LEDD-ENA20,YGLD-ENC29,SD6-EN026,DT01-EN040,AST-095,DR2-EN208,DTP1-EN014,DTP1-EN014,","Speed Duel Starter Decks: Destiny Masters,Legendary Decks II,Starter Deck: Yugi Reloaded,Legendary Collection 3: Yugi's World Mega Pack,Structure Deck: Yugi Muto,Legendary Dragon Decks,Yugi's Legendary Decks,Structure Deck: Spellcaster's Judgment,Duel Terminal 1,Ancient Sanctuary,Dark Revelation Volume 2,Duel Terminal - Preview Wave 1,Duel Terminal - Preview Wave 2,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/2314238.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2314238.jpg"
"3819470","Seven Tools of the Bandit","When a Trap Card is activated: Pay 1000 LP; negate the activation, and if you do, destroy it.","null","null","Trap Card","0","Counter","0","null","null","null","null","5DS1-EN039,YS12-EN038,SS01-ENA18,YSDS-EN034,RP01-EN047,TU05-EN019,DLG1-EN048,SDJ-048,SYE-044,YS11-EN035,YS14-EN040,DB2-EN075,SDP-045,LCYW-EN089,MRD-129,MRD-EN129,MRD-E129,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Xyz Symphony,Speed Duel Starter Decks: Destiny Masters,Starter Deck: Syrus Truesdale,Retro Pack,Turbo Pack: Booster Five,Dark Legends,Starter Deck: Joey,Starter Deck: Yugi Evolution,Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Dark Beginning 2,Starter Deck: Pegasus,Legendary Collection 3: Yugi's World Mega Pack,Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/3819470.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3819470.jpg"
"4031928","Change of Heart","Target 1 monster your opponent controls; take control of it until the End Phase.","null","null","Spell Card","0","Normal","0","null","null","null","null","SDJ-030,SDP-030,SYE-030,SDY-032,SKE-032,BP01-EN037,MRD-060,BP01-EN037,LCYW-EN124,DB1-EN168,SDY-E030,MRD-E060,MRD-EN060,","Starter Deck: Joey,Starter Deck: Pegasus,Starter Deck: Yugi Evolution,Starter Deck: Yugi,Starter Deck: Kaiba Evolution,Battle Pack: Epic Dawn,Metal Raiders,Battle Pack: Epic Dawn,Legendary Collection 3: Yugi's World Mega Pack,Dark Beginning 1,Starter Deck: Yugi,Metal Raiders,Metal Raiders,","Banned","Banned","Banned","https://storage.googleapis.com/ygoprodeck.com/pics/4031928.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4031928.jpg"
"4178474","Raigeki Break","Discard 1 card, then target 1 card on the field; destroy it.","null","null","Trap Card","0","Normal","0","null","null","null","null","YS12-EN031,DR1-EN044,YS16-EN035,SYE-050,YS14-EN033,PGD-096,5DS3-EN032,5DS2-EN036,YS11-EN037,LCYW-EN286,","Starter Deck: Xyz Symphony,Dark Revelation Volume 1,Starter Deck: Yuya,Starter Deck: Yugi Evolution,Super Starter: Space-Time Showdown,Pharaonic Guardian,Starter Deck: Duelist Toolbox,Starter Deck: Yu-Gi-Oh! 5D's 2009,Starter Deck: Dawn of the Xyz,Legendary Collection 3: Yugi's World Mega Pack,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4178474.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4178474.jpg"
"4206964","Trap Hole","When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster; destroy that target.","null","null","Trap Card","0","Normal","0","null","null","null","Hole","5DS1-EN036,YS12-EN032,SDK-033,YSKR-EN042,YSDS-EN032,YS15-ENL24,YSDJ-EN034,DLG1-EN008,LCJW-EN073,YSYR-EN038,DT02-EN100,SDJ-043,SDP-041,YS14-EN031,SYE-041,SKE-042,DB1-EN118,YS15-ENF24,DL09-EN017,5DS3-EN030,YS11-EN034,RP01-EN007,LCYW-EN177,LOB-058,SDY-027,HL03-EN003,LOB-EN058,YS15-ENY17,LOB-E046,SDY-E025,SDK-E030,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Xyz Symphony,Starter Deck: Kaiba,Starter Deck: Kaiba Reloaded,Starter Deck: Syrus Truesdale,Dark Legion Starter Deck,Starter Deck: Jaden Yuki,Dark Legends,Legendary Collection 4: Joey's World Mega Pack,Starter Deck: Yugi Reloaded,Duel Terminal 2,Starter Deck: Joey,Starter Deck: Pegasus,Super Starter: Space-Time Showdown,Starter Deck: Yugi Evolution,Starter Deck: Kaiba Evolution,Dark Beginning 1,Saber Force Starter Deck,Duelist League 2010 participation cards,Starter Deck: Duelist Toolbox,Starter Deck: Dawn of the Xyz,Retro Pack,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Hobby League 3 participation card C,Legend of Blue Eyes White Dragon,2-Player Starter Deck: Yuya & Declan,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4206964.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4206964.jpg"
"5318639","Mystical Space Typhoon","Target 1 Spell/Trap on the field; destroy that target.","null","null","Spell Card","0","Quick-Play","0","null","null","null","null","SDWS-EN023,WIRA-EN051,LEHD-ENB23,YS16-EN025,YS18-EN026,YS15-ENL17,SD1-EN011,SD5-EN020,SD6-EN018,YS17-EN024,SD2-EN014,YS12-EN024,HSRD-EN053,SDDE-EN019,YSKR-EN032,SD4-EN016,DP04-EN015,SD3-EN015,YSYR-EN028,RP01-EN057,SD10-EN024,SDP-032,SD7-EN017,SD09-EN023,SD8-EN019,BP01-EN068,SDCR-EN026,LDK2-ENJ32,SYE-037,SDMA-EN020,YS11-EN024,YS14-EN024,DLG1-EN058,YS15-ENF16,SDMP-EN031,YS13-ENV12,MRL-047,BP01-EN068,PGLD-EN079,NKRT-EN040,GLD3-EN040,DT01-EN093,DB1-EN031,DL09-EN014,LCJW-EN285,LCYW-EN062,HL2-EN002,YS15-ENY13,SRL-EN047,SRL-047,GLD5-EN038,MRL-E047,AP08-EN002,YS15-END13,","Warriors' Strike Structure Deck,Wing Raiders,Legendary Hero Decks,Starter Deck: Yuya,Starter Deck: Codebreaker,Dark Legion Starter Deck,Structure Deck: Dragon's Roar,Structure Deck: Warrior's Triumph,Structure Deck: Spellcaster's Judgment,Starter Deck: Link Strike,Structure Deck: Zombie Madness,Starter Deck: Xyz Symphony,High-Speed Riders,The Dark Emperor Structure Deck,Starter Deck: Kaiba Reloaded,Structure Deck: Fury from the Deep,Duelist Pack: Zane Truesdale,Structure Deck: Blaze of Destruction,Starter Deck: Yugi Reloaded,Retro Pack,Structure Deck: Machine Re-Volt,Starter Deck: Pegasus,Structure Deck: Invincible Fortress,Structure Deck: Dinosaur's Rage,Structure Deck: Lord of the Storm,Battle Pack: Epic Dawn,Cyber Dragon Revolution Structure Deck,Legendary Decks II,Starter Deck: Yugi Evolution,Structure Deck: Marik (TCG),Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Dark Legends,Saber Force Starter Deck,Master of Pendulum Structure Deck,Super Starter Power-Up Pack,Magic Ruler,Battle Pack: Epic Dawn,Premium Gold,Noble Knights of the Round Table Power-Up Pack,Gold Series 3,Duel Terminal 1,Dark Beginning 1,Duelist League 2010 participation cards,Legendary Collection 4: Joey's World Mega Pack,Legendary Collection 3: Yugi's World Mega Pack,Hobby League 2 participation card B,2-Player Starter Deck: Yuya & Declan,Spell Ruler,Spell Ruler,Gold Series: Haunted Mine,Spell Ruler,Astral Pack Eight,2-Player Starter Deck: Yuya & Declan,","null","null","Limited","https://storage.googleapis.com/ygoprodeck.com/pics/5318639.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5318639.jpg"
"5405694","Black Luster Soldier","You can Ritual Summon this card with ""Black Luster Ritual"".","3000","2500","Ritual Monster","8","Warrior","EARTH","null","null","null","Black Luster Soldier","DPYG-EN017,DPBC-EN006,SYE-024,YGLD-ENA01,LCYW-EN046,DT07-EN030,MF03-EN009,","Duelist Pack: Yugi,Duelist Pack: Battle City,Starter Deck: Yugi Evolution,Yugi's Legendary Decks,Legendary Collection 3: Yugi's World Mega Pack,Duel Terminal 7a,Mattel Action Figure promotional cards: Series 3,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/5405694.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5405694.jpg"
"5818798","Gazelle the King of Mythical Beasts","This monster moves so fast that it looks like an illusion to mortal eyes.\n\n\n(This card is always treated as a ""Phantom Beast"" card.)","1500","1200","Normal Monster","4","Beast","EARTH","null","null","null","null","MRD-124,DB2-EN071,DLG1-EN044,SYE-013,YSD-EN001,YGLD-ENB10,RP01-EN043,MRD-EN124,LCYW-EN011,MRD-E124,SDMY-EN017,","Metal Raiders,Dark Beginning 2,Dark Legends,Starter Deck: Yugi Evolution,Starter Deck 2006,Yugi's Legendary Decks,Retro Pack,Metal Raiders,Legendary Collection 3: Yugi's World Mega Pack,Metal Raiders,Structure Deck: Yugi Muto,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/5818798.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5818798.jpg"
"6368038","Gaia The Fierce Knight","A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.","2300","2100","Normal Monster","7","Warrior","EARTH","null","null","null","null","SDY-007,MIL1-EN025,YGLD-ENA05,SYE-007,DLG1-EN005,RP01-EN004,LCYW-EN002,DB1-EN103,LOB-006,LOB-E004,LOB-EN006,SDY-E006,","Starter Deck: Yugi,Millennium Pack,Yugi's Legendary Decks,Starter Deck: Yugi Evolution,Dark Legends,Retro Pack,Legendary Collection 3: Yugi's World Mega Pack,Dark Beginning 1,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/6368038.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/6368038.jpg"
