"id","name","type","desc","atk","def","level","race","attribute","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"425934","Goblin of Greed","Effect Monster","As long as this card remains face-up on your side of the field, neither player can activate an effect by discarding from his/her hand.","1000","1800","4","Fiend","EARTH","Greed","DR1-EN227,DCR-065,DCR-EN065,","Dark Revelation Volume 1,Dark Crisis,Dark Crisis,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/425934.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/425934.jpg"
"2851070","Reflect Bounder","Effect Monster","Before damage calculation, if this card is being attacked by an opponent's monster, and was in face-up Attack Position at the start of the Damage Step: Inflict damage to your opponent equal to the attacking monster's ATK. If you do, after damage calculation: Destroy this card.","1700","1000","4","Machine","LIGHT","","TU02-EN017,SDCR-EN016,CP01-EN009,DCR-012,DR1-EN174,DCR-EN012,","Turbo Pack: Booster Two,Cyber Dragon Revolution Structure Deck,Champion Pack: Game One,Dark Crisis,Dark Revelation Volume 1,Dark Crisis,","","","Limited","https://storage.googleapis.com/ygoprodeck.com/pics/2851070.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2851070.jpg"
"6850209","A Deal with Dark Ruler","Spell Card","(This card is always treated as an ""Archfiend"" card.)\nIf a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.","","","","Quick-Play","","Archfiend","DR1-EN192,LCJW-EN241,DCR-030,DCR-EN030,","Dark Revelation Volume 1,Legendary Collection 4: Joey's World Mega Pack,Dark Crisis,Dark Crisis,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/6850209.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/6850209.jpg"
"7369217","Metallizing Parasite - Lunatite","Union Effect Monster","Once per turn, during your Main Phase, if you control this monster on the field, you can equip it to a face-up monster on your side of the field as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, that monster will be unaffected by the effects of Spell Cards controlled by your opponent. (1 monster can only be equipped with 1 Union Monster at a time. If the monster that this card is equipped to is destroyed as a result of battle, destroy this card instead.)","1000","500","7","Aqua","WATER","Parasite","DCR-074,DR1-EN236,DCR-EN074,","Dark Crisis,Dark Revelation Volume 1,Dark Crisis,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/7369217.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7369217.jpg"
"7572887","D.D. Warrior Lady","Effect Monster","After damage calculation, when this card battles an opponent's monster: You can banish that monster, also banish this card.","1500","1600","4","Warrior","LIGHT","","LCYW-EN215,YS14-ENA04,DUSA-EN051,BP02-EN021,SD5-EN011,SDWS-EN009,SDDE-EN010,BP02-EN021,DCR-027,DR1-EN189,GLD1-EN015,HL06-EN003,DCR-EN027,","Legendary Collection 3: Yugi's World Mega Pack,Space-Time Showdown Power-Up Pack,Duelist Saga,Battle Pack 2: War of the Giants,Structure Deck: Warrior's Triumph,Warriors' Strike Structure Deck,The Dark Emperor Structure Deck,Battle Pack 2: War of the Giants,Dark Crisis,Dark Revelation Volume 1,Gold Series,Hobby League 6 participation card C,Dark Crisis,","","","Limited","https://storage.googleapis.com/ygoprodeck.com/pics/7572887.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7572887.jpg"
"8581705","Infernalqueen Archfiend","Effect Monster","The controller of this card pays 500 Life Points during each of his/her Standby Phases (this is not optional). When this card is targeted by the effect of a card controlled by your opponent, when resolving the effect, roll a six-sided die. If the result is 2 or 5, negate the effect and destroy the opponent's card. As long as this card remains on the field, during each Standby Phase, increase the ATK of 1 Archfiend Monster Card by 1000 points until the End Phase.","900","1500","4","Fiend","FIRE","Archfiend","DR1-EN233,DCR-071,DCR-EN071,","Dark Revelation Volume 1,Dark Crisis,Dark Crisis,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/8581705.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/8581705.jpg"
"8794435","Maju Garzett","Effect Monster","The ATK of this card becomes equal to the combined original ATK of the 2 monsters you Tributed for the Tribute Summon of this card.","0","0","7","Fiend","DARK","Maju","DR1-EN186,DCR-024,DCR-EN024,","Dark Revelation Volume 1,Dark Crisis,Dark Crisis,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/8794435.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/8794435.jpg"
"9603356","Shadowknight Archfiend","Effect Monster","The controller of this card pays 900 Life Points during each of his/her Standby Phases (this is not optional). When this card is targeted by the effect of a card controlled by your opponent, when resolving the effect, roll a six-sided die. If the result is 3, negate the effect and destroy the opponent's card. The Battle Damage this card inflicts to your opponent is halved.","2000","1600","4","Fiend","WIND","Archfiend","DR1-EN230,DCR-068,DCR-EN068,","Dark Revelation Volume 1,Dark Crisis,Dark Crisis,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/9603356.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/9603356.jpg"
"9633505","Guardian Kay'est","Effect Monster","Cannot be Summoned unless you control a face-up ""Rod of Silence - Kay'est"". This card is unaffected by Spell effects and cannot be targeted for attacks, but does not prevent your opponent from attacking you directly.","1000","1800","4","Sea Serpent","WATER","Guardian","DCR-009,LCYW-EN133,DR1-EN171,DCR-EN009,","Dark Crisis,Legendary Collection 3: Yugi's World Mega Pack,Dark Revelation Volume 1,Dark Crisis,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/9633505.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/9633505.jpg"
"9817927","Gyaku-Gire Panda","Effect Monster","Increase the ATK of this card by 500 points for each monster on your opponent's side of the field. When this card attacks with an ATK that is higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points.","800","1600","3","Beast","EARTH","","DR1-EN183,DCR-021,DCR-EN021,","Dark Revelation Volume 1,Dark Crisis,Dark Crisis,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/9817927.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/9817927.jpg"
