"id","name","type","desc","atk","def","level","race","attribute","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"3573512","Swordsman of Landstar","Normal Monster","An amateur with a sword, this fairy warrior relies on its mysterious powers.","500","1200","3","Warrior","EARTH","","DB1-EN206,LCJW-EN010,LON-002,SDJ-002,LON-E002,LON-EN002,","Dark Beginning 1,Legendary Collection 4: Joey's World Mega Pack,Labyrinth of Nightmare,Starter Deck: Joey,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/3573512.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3573512.jpg"
"5434080","Headless Knight","Normal Monster","A haunted spirit of a falsely accused knight who wanders in search of truth and justice.","1450","1700","4","Fiend","EARTH","","DB1-EN248,LON-054,LON-EN054,LON-E054,","Dark Beginning 1,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/5434080.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5434080.jpg"
"5494820","Cyclon Laser","Spell Card","You can only equip this card to ""Gradius"". Increase the ATK of ""Gradius"" by 300 points. When the equipped ""Gradius"" attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points.","","","","Equip","","","DB2-EN028,LON-095,LON-E095,LON-EN095,","Dark Beginning 2,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/5494820.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5494820.jpg"
"5600127","Humanoid Worm Drake","Fusion Monster","""Worm Drake"" + ""Humanoid Slime""","2200","2000","7","Aqua","WATER","Slime","DB1-EN209,LON-005,LON-EN005,LON-E005,","Dark Beginning 1,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/5600127.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5600127.jpg"
"5616412","Destruction Punch","Trap Card","If the ATK of an attacking monster your opponent controls is lower than the DEF of the attacked Defense Position monster, destroy the attacking monster at the end of the Damage Step. (Damage calculation is applied normally.)","","","","Normal","","","DB2-EN018,DT02-EN099,TP5-EN013,LON-085,LON-E085,LON-EN085,","Dark Beginning 2,Duel Terminal 2,Tournament Pack 5,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/5616412.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5616412.jpg"
"6343408","Miracle Dig","Spell Card","If 5 or more of your monsters are currently removed from play, return 3 of them to the Graveyard.","","","","Normal","","","LON-100,DB2-EN032,LON-EN100,LON-E100,","Labyrinth of Nightmare,Dark Beginning 2,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/6343408.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/6343408.jpg"
"6733059","Skull Lair","Trap Card","Remove from play any number of Monster Cards in your Graveyard to destroy 1 face-up monster on the field whose Level is equal to the number of the cards you removed from play.","","","","Continuous","","","DB2-EN016,LON-082,LON-E082,LON-EN082,","Dark Beginning 2,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/6733059.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/6733059.jpg"
"7165085","Bait Doll","Spell Card","Target 1 Set card in the Spell & Trap Card Zone; reveal that target, force its activation if it is a Trap Card, then negate its effect if the activation timing is incorrect, and if you do, destroy it. (If it is not a Trap Card, return it face-down.) When this card resolves, shuffle it into the Deck instead of sending it to the Graveyard.","","","","Normal","","","BP01-EN071,BP01-EN071,LON-096,LON-E096,LON-EN096,","Battle Pack: Epic Dawn,Battle Pack: Epic Dawn,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/7165085.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7165085.jpg"
"7565547","Collected Power","Trap Card","Target 1 face-up monster on the field; equip it with all Equip Cards on the field. If any of those Equip Cards is now equipped to an incorrect target, destroy that Equip Card.","","","","Normal","","","LCYW-EN098,LCJW-EN077,LON-078,LON-E078,LON-EN078,","Legendary Collection 3: Yugi's World Mega Pack,Legendary Collection 4: Joey's World Mega Pack,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/7565547.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7565547.jpg"
"8687195","Dreamsprite","Effect Monster","When attacked by your opponent's monster, select another 1 of your Monster Cards and designate it as the attack's target, then calculate damage.","300","200","2","Plant","LIGHT","","LON-073,LON-EN073,LON-E073,","Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/8687195.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/8687195.jpg"
"10352095","Scroll of Bewitchment","Spell Card","Select 1 Attribute. Change the Attribute of the equipped monster to the one you select.","","","","Equip","","","DB1-EN243,LON-048,LON-E048,LON-EN048,","Dark Beginning 1,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/10352095.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/10352095.jpg"
"12800777","Garuda the Wind Spirit","Effect Monster","This card cannot be Normal Summoned or Normal Set. This card can only be Special Summoned by removing from play 1 WIND monster in your Graveyard. During your opponent's End Phase, you can select 1 face-up monster your opponent controls, and change its battle position.","1600","1200","4","Winged Beast","WIND","","SDDL-EN014,LON-070,LON-EN070,LON-E070,","Dragunity Legion Structure Deck,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/12800777.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/12800777.jpg"
