"id","name","type","desc","atk","def","level","race","attribute","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"295517","A Legendary Ocean","Spell Card","(This card's name is always treated as ""Umi"".)\r\nAll WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.","","","","Field","","Umi","LEDU-EN021,HL1-EN003,DB2-EN187,LOD-078,SD4-EN020,SDRE-EN024,RP02-EN062,LOD-EN078,","Legendary Duelists,Hobby League 1 participation cards B,Dark Beginning 2,Legacy of Darkness,Structure Deck: Fury from the Deep,Realm of the Sea Emperor Structure Deck,Retro Pack 2,Legacy of Darkness,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/295517.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/295517.jpg"
"403847","The A. Forces","Spell Card","All Warrior-Type monsters you control gain 200 ATK for each Warrior or Spellcaster-Type monster you control.","","","","Continuous","","","DB2-EN146,YS13-EN028,YS14-ENA08,LOD-027,SDWA-EN024,LOD-EN027,","Dark Beginning 2,Super Starter: V for Victory,Space-Time Showdown Power-Up Pack,Legacy of Darkness,Samurai Warlords Structure Deck,Legacy of Darkness,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/403847.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/403847.jpg"
"1347977","Mysterious Guard","Flip Effect Monster","FLIP: Target 1 face-up monster on the field, and if you control a face-up Warrior-Type monster, you can target 1 additional face-up monster on the field; return the first target to the top of the Deck, then return the additional target (if any) to the hand if you still control a face-up Warrior-Type monster.","800","1200","3","Spellcaster","EARTH","","DB2-EN141,CP01-EN013,BP01-EN058,BP01-EN058,LOD-021,LOD-EN021,","Dark Beginning 2,Champion Pack: Game One,Battle Pack: Epic Dawn,Battle Pack: Epic Dawn,Legacy of Darkness,Legacy of Darkness,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/1347977.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1347977.jpg"
"1412158","Super Roboyarou","Fusion Monster","""Roboyarou"" + ""Robolady""\nYou can Special Summon ""Super Robolady"" by returning this card from the field to the Extra Deck. You cannot use this effect during the same turn this monster is Special Summoned. In addition, increase the ATK of this monster by 1000 points during the Damage Step when this monster battles with a monster.","1200","500","6","Machine","EARTH","","LOD-074,LOD-EN074,","Legacy of Darkness,Legacy of Darkness,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/1412158.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1412158.jpg"
"1525329","The Hunter with 7 Weapons","Effect Monster","When this card is Normal Summoned, declare 1 Type of monster. When battling that Type of monster, increase the ATK of this card by 1000 points during Damage Calculation.","1000","600","3","Warrior","EARTH","","LOD-024,LOD-EN024,","Legacy of Darkness,Legacy of Darkness,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/1525329.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1525329.jpg"
"2134346","Asura Priest","Spirit Monster","Cannot be Special Summoned. During the End Phase of the turn this card is Normal Summoned or flipped face-up: Return it to the hand. This card can attack all monsters your opponent controls once each.","1700","1200","4","Fairy","LIGHT","","DB2-EN183,BP01-EN125,BP01-EN125,RP02-EN061,HL04-EN003,LOD-071,LOD-EN071,","Dark Beginning 2,Battle Pack: Epic Dawn,Battle Pack: Epic Dawn,Retro Pack 2,Hobby League 4 participation card C,Legacy of Darkness,Legacy of Darkness,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/2134346.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2134346.jpg"
"2356994","Great Long Nose","Spirit Monster","This card cannot be Special Summoned. This card returns to the owner's hand during the End Phase of the turn that this card is Normal Summoned or flipped face-up. If this card inflicts Battle Damage to your opponent's Life Points, your opponent skips their next Battle Phase.","1900","1700","5","Beast-Warrior","DARK","","DB2-EN180,LOD-068,LOD-EN068,","Dark Beginning 2,Legacy of Darkness,Legacy of Darkness,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/2356994.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2356994.jpg"
"2460565","Marauding Captain","Effect Monster","Your opponent cannot target Warrior monsters for attacks, except this one. When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower monster from your hand.","1200","400","3","Warrior","EARTH","","5DS1-EN018,LCJW-EN032,DEM1-EN008,YS12-EN014,YS13-EN019,YS17-EN012,SD5-EN009,DB2-EN138,SDWS-EN007,YS11-EN015,LOD-018,HL2-EN005,LOD-EN018,","Starter Deck: Yu-Gi-Oh! 5D's,Legendary Collection 4: Joey's World Mega Pack,Demo Pack,Starter Deck: Xyz Symphony,Super Starter: V for Victory,Starter Deck: Link Strike,Structure Deck: Warrior's Triumph,Dark Beginning 2,Warriors' Strike Structure Deck,Starter Deck: Dawn of the Xyz,Legacy of Darkness,Hobby League 2 participation card E,Legacy of Darkness,","","","Semi-Limited","https://storage.googleapis.com/ygoprodeck.com/pics/2460565.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2460565.jpg"
"3078576","Yata-Garasu","Spirit Monster","This card cannot be Special Summoned. This card returns to its owner's hand during the End Phase of the turn it is Normal Summoned or flipped face-up. When this card inflicts Battle Damage to your opponent, they skip their next Draw Phase.","200","100","2","Fiend","WIND","","DB2-EN177,RP02-EN051,LOD-000,LOD-EN000,","Dark Beginning 2,Retro Pack 2,Legacy of Darkness,Legacy of Darkness,","Banned","Banned","Banned","https://storage.googleapis.com/ygoprodeck.com/pics/3078576.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3078576.jpg"
"3682106","Double Snare","Spell Card","Destroy 1 face-up card on the field that has an effect that negates Trap Cards' effects.","","","","Normal","","","DB2-EN136,LOD-015,LOD-EN015,","Dark Beginning 2,Legacy of Darkness,Legacy of Darkness,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/3682106.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3682106.jpg"
