"id","name","type","desc","atk","def","level","race","attribute","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"2111707","XY-Dragon Cannon","Fusion Monster","""X-Head Cannon"" + ""Y-Dragon Head""\nMust first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use ""Polymerization"".) Cannot be Special Summoned from the Graveyard. You can discard 1 card, then target 1 face-up Spell/Trap Card your opponent controls; destroy that target.","2200","1900","6","Machine","LIGHT","ABC","SDKS-EN043,DR1-EN106,MFC-051,","Structure Deck: Seto Kaiba,Dark Revelation Volume 1,Magician's Force,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/2111707.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2111707.jpg"
"2903036","Tribute Doll","Spell Card","Tribute 1 monster; Special Summon 1 Level 7 monster from your hand that can be Normal Summoned or Normal Set. It cannot attack this turn.","","","","Normal","","","SS01-ENA13,DR1-EN094,LCJW-EN233,MFC-039,","Speed Duel Starter Decks: Destiny Masters,Dark Revelation Volume 1,Legendary Collection 4: Joey's World Mega Pack,Magician's Force,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/2903036.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2903036.jpg"
"6390406","Emblem of Dragon Destroyer","Spell Card","Add 1 ""Buster Blader"" from your Deck or Graveyard to your hand.","","","","Normal","","","DR1-EN145,MFC-090,YGLD-ENC34,","Dark Revelation Volume 1,Magician's Force,Yugi's Legendary Decks,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/6390406.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/6390406.jpg"
"6967870","Dark Scorpion - Cliff the Trap Remover","Effect Monster","When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects:\n● Target 1 Spell/Trap Card on the field; destroy that target.\n● Send the top 2 cards of their Deck to the Graveyard.","1200","1000","3","Warrior","DARK","Dark Scorpion","DR1-EN133,MFC-078,GLD5-EN007,","Dark Revelation Volume 1,Magician's Force,Gold Series: Haunted Mine,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/6967870.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/6967870.jpg"
"7180418","Armor Exe","Effect Monster","This card cannot attack in the same turn it is Normal Summoned, Flip Summoned, or Special Summoned. During each of your and your opponent's Standby Phases, remove 1 Spell Counter on your side of the field. If you do not, destroy this card.","2400","1400","4","Rock","LIGHT","","DR1-EN130,MFC-075,","Dark Revelation Volume 1,Magician's Force,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/7180418.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7180418.jpg"
"7512044","Gather Your Mind","Spell Card","Add 1 ""Gather Your Mind"" card from your Deck to your hand. Your Deck is then shuffled. You can only use 1 ""Gather Your Mind"" per turn.","","","","Normal","","","DR1-EN142,MFC-087,","Dark Revelation Volume 1,Magician's Force,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/7512044.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7512044.jpg"
"7625614","Raregold Armor","Spell Card","As long as you control the monster equipped with this card, your opponent cannot attack other monsters other than the equipped monster.","","","","Equip","","","MFC-036,DR1-EN091,","Magician's Force,Dark Revelation Volume 1,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/7625614.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7625614.jpg"
"7802006","Magical Plant Mandragola","Flip Effect Monster","FLIP: Place 1 Spell Counter on each face-up card on the field that you can place a Spell Counter on.","500","200","2","Spellcaster","DARK","","MFC-072,SDSC-EN012,DR1-EN127,","Magician's Force,Spellcaster's Command Structure Deck,Dark Revelation Volume 1,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/7802006.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7802006.jpg"
"8034697","Magical Marionette","Effect Monster","Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves. This card gains 200 ATK for each Spell Counter on it. You can remove 2 Spell Counters from this card, then target 1 monster on the field; destroy that target.","2000","1000","5","Spellcaster","DARK","","DR1-EN124,SDSC-EN010,MFC-069,","Dark Revelation Volume 1,Spellcaster's Command Structure Deck,Magician's Force,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/8034697.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/8034697.jpg"
"8634636","Dark Cat with White Tail","Flip Effect Monster","FLIP: Return 2 Monster Cards on your opponent's side of the field and 1 Monster Card on your side of the field to their owners' hands.","800","500","2","Beast","EARTH","","DR1-EN138,MFC-083,","Dark Revelation Volume 1,Magician's Force,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/8634636.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/8634636.jpg"
