"id","name","desc","atk","def","type","level","race","attribute","scale","linkval","linkmarkers","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"1784619","Uraby","Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.","1500","800","Normal Monster","4","Dinosaur","EARTH","null","null","null","null","DB1-EN125,SDK-010,LOB-069,SKE-006,SDP-006,LOB-EN069,LOB-E055,SDK-E009,","Dark Beginning 1,Starter Deck: Kaiba,Legend of Blue Eyes White Dragon,Starter Deck: Kaiba Evolution,Starter Deck: Pegasus,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1784619.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1784619.jpg"
"2964201","Ryu-Ran","A vicious little dragon sheltered in an egg that looks deceptively harmless.","2200","2600","Normal Monster","7","Dragon","FIRE","null","null","null","null","SRL-070,MRL-070,SRL-EN070,SDP-003,MRL-E070,","Spell Ruler,Magic Ruler,Spell Ruler,Starter Deck: Pegasus,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/2964201.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2964201.jpg"
"3819470","Seven Tools of the Bandit","When a Trap Card is activated: Pay 1000 LP; negate the activation, and if you do, destroy it.","null","null","Trap Card","0","Counter","0","null","null","null","null","5DS1-EN039,YS12-EN038,SS01-ENA18,YSDS-EN034,RP01-EN047,TU05-EN019,DLG1-EN048,SDJ-048,SYE-044,YS11-EN035,YS14-EN040,DB2-EN075,SDP-045,LCYW-EN089,MRD-129,MRD-EN129,MRD-E129,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Xyz Symphony,Speed Duel Starter Decks: Destiny Masters,Starter Deck: Syrus Truesdale,Retro Pack,Turbo Pack: Booster Five,Dark Legends,Starter Deck: Joey,Starter Deck: Yugi Evolution,Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Dark Beginning 2,Starter Deck: Pegasus,Legendary Collection 3: Yugi's World Mega Pack,Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/3819470.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3819470.jpg"
"4031928","Change of Heart","Target 1 monster your opponent controls; take control of it until the End Phase.","null","null","Spell Card","0","Normal","0","null","null","null","null","SDJ-030,SDP-030,SYE-030,SDY-032,SKE-032,BP01-EN037,MRD-060,BP01-EN037,LCYW-EN124,DB1-EN168,SDY-E030,MRD-E060,MRD-EN060,","Starter Deck: Joey,Starter Deck: Pegasus,Starter Deck: Yugi Evolution,Starter Deck: Yugi,Starter Deck: Kaiba Evolution,Battle Pack: Epic Dawn,Metal Raiders,Battle Pack: Epic Dawn,Legendary Collection 3: Yugi's World Mega Pack,Dark Beginning 1,Starter Deck: Yugi,Metal Raiders,Metal Raiders,","Banned","Banned","Banned","https://storage.googleapis.com/ygoprodeck.com/pics/4031928.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4031928.jpg"
"4206964","Trap Hole","When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster; destroy that target.","null","null","Trap Card","0","Normal","0","null","null","null","Hole","5DS1-EN036,YS12-EN032,SDK-033,YSKR-EN042,YSDS-EN032,YS15-ENL24,YSDJ-EN034,DLG1-EN008,LCJW-EN073,YSYR-EN038,DT02-EN100,SDJ-043,SDP-041,YS14-EN031,SYE-041,SKE-042,DB1-EN118,YS15-ENF24,DL09-EN017,5DS3-EN030,YS11-EN034,RP01-EN007,LCYW-EN177,LOB-058,SDY-027,HL03-EN003,LOB-EN058,YS15-ENY17,LOB-E046,SDY-E025,SDK-E030,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Xyz Symphony,Starter Deck: Kaiba,Starter Deck: Kaiba Reloaded,Starter Deck: Syrus Truesdale,Dark Legion Starter Deck,Starter Deck: Jaden Yuki,Dark Legends,Legendary Collection 4: Joey's World Mega Pack,Starter Deck: Yugi Reloaded,Duel Terminal 2,Starter Deck: Joey,Starter Deck: Pegasus,Super Starter: Space-Time Showdown,Starter Deck: Yugi Evolution,Starter Deck: Kaiba Evolution,Dark Beginning 1,Saber Force Starter Deck,Duelist League 2010 participation cards,Starter Deck: Duelist Toolbox,Starter Deck: Dawn of the Xyz,Retro Pack,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Hobby League 3 participation card C,Legend of Blue Eyes White Dragon,2-Player Starter Deck: Yuya & Declan,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4206964.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4206964.jpg"
"5318639","Mystical Space Typhoon","Target 1 Spell/Trap on the field; destroy that target.","null","null","Spell Card","0","Quick-Play","0","null","null","null","null","SDWS-EN023,WIRA-EN051,LEHD-ENB23,YS16-EN025,YS18-EN026,YS15-ENL17,SD1-EN011,SD5-EN020,SD6-EN018,YS17-EN024,SD2-EN014,YS12-EN024,HSRD-EN053,SDDE-EN019,YSKR-EN032,SD4-EN016,DP04-EN015,SD3-EN015,YSYR-EN028,RP01-EN057,SD10-EN024,SDP-032,SD7-EN017,SD09-EN023,SD8-EN019,BP01-EN068,SDCR-EN026,LDK2-ENJ32,SYE-037,SDMA-EN020,YS11-EN024,YS14-EN024,DLG1-EN058,YS15-ENF16,SDMP-EN031,YS13-ENV12,MRL-047,BP01-EN068,PGLD-EN079,NKRT-EN040,GLD3-EN040,DT01-EN093,DB1-EN031,DL09-EN014,LCJW-EN285,LCYW-EN062,HL2-EN002,YS15-ENY13,SRL-EN047,SRL-047,GLD5-EN038,MRL-E047,AP08-EN002,YS15-END13,","Warriors' Strike Structure Deck,Wing Raiders,Legendary Hero Decks,Starter Deck: Yuya,Starter Deck: Codebreaker,Dark Legion Starter Deck,Structure Deck: Dragon's Roar,Structure Deck: Warrior's Triumph,Structure Deck: Spellcaster's Judgment,Starter Deck: Link Strike,Structure Deck: Zombie Madness,Starter Deck: Xyz Symphony,High-Speed Riders,The Dark Emperor Structure Deck,Starter Deck: Kaiba Reloaded,Structure Deck: Fury from the Deep,Duelist Pack: Zane Truesdale,Structure Deck: Blaze of Destruction,Starter Deck: Yugi Reloaded,Retro Pack,Structure Deck: Machine Re-Volt,Starter Deck: Pegasus,Structure Deck: Invincible Fortress,Structure Deck: Dinosaur's Rage,Structure Deck: Lord of the Storm,Battle Pack: Epic Dawn,Cyber Dragon Revolution Structure Deck,Legendary Decks II,Starter Deck: Yugi Evolution,Structure Deck: Marik (TCG),Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Dark Legends,Saber Force Starter Deck,Master of Pendulum Structure Deck,Super Starter Power-Up Pack,Magic Ruler,Battle Pack: Epic Dawn,Premium Gold,Noble Knights of the Round Table Power-Up Pack,Gold Series 3,Duel Terminal 1,Dark Beginning 1,Duelist League 2010 participation cards,Legendary Collection 4: Joey's World Mega Pack,Legendary Collection 3: Yugi's World Mega Pack,Hobby League 2 participation card B,2-Player Starter Deck: Yuya & Declan,Spell Ruler,Spell Ruler,Gold Series: Haunted Mine,Spell Ruler,Astral Pack Eight,2-Player Starter Deck: Yuya & Declan,","null","null","Limited","https://storage.googleapis.com/ygoprodeck.com/pics/5318639.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5318639.jpg"
"5758500","Soul Release","Target up to 5 cards in any Graveyard(s); banish them.","null","null","Spell Card","0","Normal","0","null","null","null","null","SDDE-EN021,SDP-036,THSF-EN048,DB1-EN166,MRD-058,MRD-E058,MRD-EN058,","The Dark Emperor Structure Deck,Starter Deck: Pegasus,The Secret Forces,Dark Beginning 1,Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/5758500.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5758500.jpg"
"7089711","Hane-Hane","FLIP: Select 1 monster on the field and return it to its owner's hand.","450","500","Flip Effect Monster","2","Beast","EARTH","null","null","null","null","SDP-010,DLG1-EN016,DB1-EN132,SKE-019,SDK-046,LOB-110,RP01-EN015,LOB-EN110,MRL-E110,","Starter Deck: Pegasus,Dark Legends,Dark Beginning 1,Starter Deck: Kaiba Evolution,Starter Deck: Kaiba,Legend of Blue Eyes White Dragon,Retro Pack,Legend of Blue Eyes White Dragon,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/7089711.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7089711.jpg"
"9076207","Armed Ninja","FLIP: Target 1 Spell Card on the field; destroy that target. (If the target is Set, reveal it, and destroy it if it is a Spell Card. Otherwise, return it to its original position.)","300","300","Flip Effect Monster","1","Warrior","EARTH","null","null","null","Ninja","RP01-EN013,LOB-106,DB1-EN130,SDP-018,DLG1-EN014,DL13-EN001,LOB-E086,LOB-EN106,","Retro Pack,Legend of Blue Eyes White Dragon,Dark Beginning 1,Starter Deck: Pegasus,Dark Legends,Duelist League 13 participation cards,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/9076207.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/9076207.jpg"
"12607053","Waboku","You take no battle damage from your opponent's monsters this turn. Your monsters cannot be destroyed by battle this turn.","null","null","Trap Card","0","Normal","0","null","null","null","null","YSYR-EN039,SD7-EN026,SDCR-EN035,SYE-042,SDZW-EN036,SDY-040,SDJ-046,SDP-044,BP02-EN170,BP02-EN170,DT03-EN100,SDY-E036,","Starter Deck: Yugi Reloaded,Structure Deck: Invincible Fortress,Cyber Dragon Revolution Structure Deck,Starter Deck: Yugi Evolution,Zombie World Structure Deck,Starter Deck: Yugi,Starter Deck: Joey,Starter Deck: Pegasus,Battle Pack 2: War of the Giants,Battle Pack 2: War of the Giants,Duel Terminal 3,Starter Deck: Yugi,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/12607053.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/12607053.jpg"
