año,id,Rareza,booster,Cat_Nico,search,Tier,name,desc,atk,def,type,Stars,subType,attribute,archetype,set_tag,setcode,ban_tcg,ban_ocg,ban_goat,image_url,image_url_small,Booster ABCD,repetida,repetida2,check rareza
2,83994646,SR,PSV,2,#VALUE!,2,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,800,1200,Flip Effect Monster,3,Insect,WIND,null,"DB1-EN198,YSYR-EN010,RP02-EN022,PSV-088,PSV-E088,PSV-EN088,","Dark Beginning 1,Starter Deck: Yugi Reloaded,Retro Pack 2,Pharaoh's Servant,Pharaoh's Servant,Pharaoh's Servant,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/83994646.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/83994646.jpg,2,FALSE,2,ok
2,83994646,SR,,2,#VALUE!,2,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,800,1200,Flip Effect Monster,3,Insect,WIND,null,"DB1-EN198,YSYR-EN010,PSV-088,RP02-EN022,PSV-E088,PSV-EN088,","Dark Beginning 1,Starter Deck: Yugi Reloaded,Pharaoh's Servant,Retro Pack 2,Pharaoh's Servant,Pharaoh's Servant,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/83994646.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/83994646.jpg,2,TRUE,1,ok
2,23771716,SR,MRD,4,#VALUE!,4,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,1800,800,Normal Monster,4,Fish,WATER,null,"MRD-098,SD4-EN002,GLD1-EN001,SDJ-008,MRD-EN098,MRD-E098,","Metal Raiders,Structure Deck: Fury from the Deep,Gold Series,Starter Deck: Joey,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/23771716.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/23771716.jpg,4,FALSE,0,ok
2,86198326,R,PSV,#N/A,#VALUE!,6,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine-Type monster. It gains 700 ATK or DEF, depending on the choice.",null,null,Spell Card,0,Equip,0,null,"BP03-EN135,DT02-EN038,PSV-E004,PSV-004,BP03-EN135,PSV-EN004,","Battle Pack 3: Monster League,Duel Terminal 2,Pharaoh's Servant,Pharaoh's Servant,Battle Pack 3: Monster League,Pharaoh's Servant,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/86198326.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/86198326.jpg,#N/A,FALSE,0,ok
2,43096270,??,Kaiba Reloaded,,#VALUE!,--,Alexandrite Dragon,"Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.",2000,100,Normal Monster,4,Dragon,LIGHT,null,"YS15-ENF01,LDK2-ENK12,SDBE-EN003,BP02-EN004,SDLI-EN001,YS12-EN001,YSKR-EN011,PHSW-EN000,BP02-EN004,PHSW-ENSP1,YS15-ENY01,","Saber Force Starter Deck,Legendary Decks II,Saga of Blue-Eyes White Dragon Structure Deck,Battle Pack 2: War of the Giants,Realm of Light Structure Deck,Starter Deck: Xyz Symphony,Starter Deck: Kaiba Reloaded,Photon Shockwave,Battle Pack 2: War of the Giants,Photon Shockwave Sneak Peek Participation Card,2-Player Starter Deck: Yuya & Declan,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/43096270.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/43096270.jpg,#N/A,FALSE,0,ok
2,95174353,C,SRL,#N/A,#VALUE!,--,Ameba,"When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field.",300,350,Effect Monster,1,Aqua,WATER,null,"MRL-010,DB1-EN008,SRL-010,SRL-EN010,MRL-E010,","Magic Ruler,Dark Beginning 1,Spell Ruler,Spell Ruler,Spell Ruler,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/95174353.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/95174353.jpg,#N/A,FALSE,0,ok
2,42431843,C,MRD,#N/A,#VALUE!,--,Ancient Brain,A fallen fairy that is powerful in the dark.,1000,700,Normal Monster,3,Fiend,DARK,null,"MRD-082,MRD-EN082,MRD-E082,","Metal Raiders,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/42431843.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/42431843.jpg,#N/A,FALSE,0,ok
2,93221206,C,MRD,8,#VALUE!,8,Ancient Elf,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.,1450,1200,Normal Monster,4,Spellcaster,LIGHT,null,"SDY-024,MRD-037,MRD-EN037,MRD-E037,SDY-E022,","Starter Deck: Yugi,Metal Raiders,Metal Raiders,Metal Raiders,Starter Deck: Yugi,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/93221206.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/93221206.jpg,8,FALSE,2,ok
2,93221206,C,Yugi,8,#VALUE!,8,Ancient Elf,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.,1450,1200,Normal Monster,4,Spellcaster,LIGHT,null,"SDY-024,MRD-037,MRD-EN037,MRD-E037,SDY-E022,","Starter Deck: Yugi,Metal Raiders,Metal Raiders,Metal Raiders,Starter Deck: Yugi,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/93221206.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/93221206.jpg,8,TRUE,1,ok
2,43230671,C,MRD,#N/A,#VALUE!,--,Ancient Lizard Warrior,"Before the dawn of man, this lizard warrior ruled supreme.",1400,1100,Normal Monster,4,Reptile,EARTH,null,"MRD-050,MRD-E050,MRD-EN050,","Metal Raiders,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/43230671.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/43230671.jpg,#N/A,FALSE,0,ok
