"id","name","desc","atk","def","type","level","race","attribute","scale","linkval","linkmarkers","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"596051","Snake Fang","Decrease 1 selected monster's DEF by 500 points during the turn this card is activated.","null","null","Trap Card","0","Normal","0","null","null","null","null","SRL-050,MRL-050,SRL-EN050,MRL-E050,","Spell Ruler,Magic Ruler,Spell Ruler,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/596051.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/596051.jpg"
"1641882","Fusionist","""Petit Angel"" + ""Mystical Sheep #2""","900","700","Fusion Monster","3","Beast","EARTH","null","null","null","null","OP03-EN027,LOB-022,LOB-EN022,MRL-E113,","OTS Tournament Pack 3,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1641882.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1641882.jpg"
"2964201","Ryu-Ran","A vicious little dragon sheltered in an egg that looks deceptively harmless.","2200","2600","Normal Monster","7","Dragon","FIRE","null","null","null","null","SRL-070,MRL-070,SRL-EN070,SDP-003,MRL-E070,","Spell Ruler,Magic Ruler,Spell Ruler,Starter Deck: Pegasus,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/2964201.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2964201.jpg"
"3056267","Invader of the Throne","FLIP: Select 1 monster on your opponent's side of the field and switch control of it with this card. This effect cannot be activated during the Battle Phase.","1350","1700","Flip Effect Monster","4","Warrior","EARTH","null","null","null","null","DB1-EN013,SRL-026,MRL-026,SRL-EN026,MRL-E026,","Dark Beginning 1,Spell Ruler,Magic Ruler,Spell Ruler,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/3056267.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3056267.jpg"
"3797883","Slot Machine","The machine's ability is said to vary according to its slot results.","2000","2300","Normal Monster","7","Machine","DARK","null","null","null","null","DB1-EN014,SRL-028,LCJW-EN172,MRL-028,SRL-EN028,MRL-E028,","Dark Beginning 1,Spell Ruler,Legendary Collection 4: Joey's World Mega Pack,Magic Ruler,Spell Ruler,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/3797883.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3797883.jpg"
"4849037","Performance of Sword","This monster can only be Ritual Summoned with the Ritual Spell Card, ""Commencement Dance"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.","1950","1850","Ritual Monster","6","Warrior","EARTH","null","null","null","null","MRL-067,SRL-067,SRL-EN067,MRL-E067,","Magic Ruler,Spell Ruler,Spell Ruler,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4849037.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4849037.jpg"
"5318639","Mystical Space Typhoon","Target 1 Spell/Trap on the field; destroy that target.","null","null","Spell Card","0","Quick-Play","0","null","null","null","null","SDWS-EN023,WIRA-EN051,LEHD-ENB23,YS16-EN025,YS18-EN026,YS15-ENL17,SD1-EN011,SD5-EN020,SD6-EN018,YS17-EN024,SD2-EN014,YS12-EN024,HSRD-EN053,SDDE-EN019,YSKR-EN032,SD4-EN016,DP04-EN015,SD3-EN015,YSYR-EN028,RP01-EN057,SD10-EN024,SDP-032,SD7-EN017,SD09-EN023,SD8-EN019,BP01-EN068,SDCR-EN026,LDK2-ENJ32,SYE-037,SDMA-EN020,YS11-EN024,YS14-EN024,DLG1-EN058,YS15-ENF16,SDMP-EN031,YS13-ENV12,MRL-047,BP01-EN068,PGLD-EN079,NKRT-EN040,GLD3-EN040,DT01-EN093,DB1-EN031,DL09-EN014,LCJW-EN285,LCYW-EN062,HL2-EN002,YS15-ENY13,SRL-EN047,SRL-047,GLD5-EN038,MRL-E047,AP08-EN002,YS15-END13,","Warriors' Strike Structure Deck,Wing Raiders,Legendary Hero Decks,Starter Deck: Yuya,Starter Deck: Codebreaker,Dark Legion Starter Deck,Structure Deck: Dragon's Roar,Structure Deck: Warrior's Triumph,Structure Deck: Spellcaster's Judgment,Starter Deck: Link Strike,Structure Deck: Zombie Madness,Starter Deck: Xyz Symphony,High-Speed Riders,The Dark Emperor Structure Deck,Starter Deck: Kaiba Reloaded,Structure Deck: Fury from the Deep,Duelist Pack: Zane Truesdale,Structure Deck: Blaze of Destruction,Starter Deck: Yugi Reloaded,Retro Pack,Structure Deck: Machine Re-Volt,Starter Deck: Pegasus,Structure Deck: Invincible Fortress,Structure Deck: Dinosaur's Rage,Structure Deck: Lord of the Storm,Battle Pack: Epic Dawn,Cyber Dragon Revolution Structure Deck,Legendary Decks II,Starter Deck: Yugi Evolution,Structure Deck: Marik (TCG),Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Dark Legends,Saber Force Starter Deck,Master of Pendulum Structure Deck,Super Starter Power-Up Pack,Magic Ruler,Battle Pack: Epic Dawn,Premium Gold,Noble Knights of the Round Table Power-Up Pack,Gold Series 3,Duel Terminal 1,Dark Beginning 1,Duelist League 2010 participation cards,Legendary Collection 4: Joey's World Mega Pack,Legendary Collection 3: Yugi's World Mega Pack,Hobby League 2 participation card B,2-Player Starter Deck: Yuya & Declan,Spell Ruler,Spell Ruler,Gold Series: Haunted Mine,Spell Ruler,Astral Pack Eight,2-Player Starter Deck: Yuya & Declan,","null","null","Limited","https://storage.googleapis.com/ygoprodeck.com/pics/5318639.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5318639.jpg"
"7089711","Hane-Hane","FLIP: Select 1 monster on the field and return it to its owner's hand.","450","500","Flip Effect Monster","2","Beast","EARTH","null","null","null","null","SDP-010,DLG1-EN016,DB1-EN132,SKE-019,SDK-046,LOB-110,RP01-EN015,LOB-EN110,MRL-E110,","Starter Deck: Pegasus,Dark Legends,Dark Beginning 1,Starter Deck: Kaiba Evolution,Starter Deck: Kaiba,Legend of Blue Eyes White Dragon,Retro Pack,Legend of Blue Eyes White Dragon,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/7089711.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7089711.jpg"
"7892180","Psychic Kappa","An amphibian with a myriad of powers to shield it from enemy attacks.","400","1000","Normal Monster","2","Aqua","WATER","null","null","null","null","SRL-053,MRL-053,SRL-EN053,MRL-E053,","Spell Ruler,Magic Ruler,Spell Ruler,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/7892180.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7892180.jpg"
"11324436","Electric Snake","When this card is discarded from your hand to the Graveyard by an effect of a card controlled by your opponent, draw 2 cards from your Deck.","800","900","Effect Monster","3","Thunder","LIGHT","null","null","null","null","DB1-EN007,SRL-008,MRL-008,SRL-EN008,MRL-E008,","Dark Beginning 1,Spell Ruler,Magic Ruler,Spell Ruler,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/11324436.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/11324436.jpg"
