"id","name","desc","atk","def","type","level","race","attribute","scale","linkval","linkmarkers","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"423705","Gearfried the Iron Knight","When an Equip Card(s) is equipped to this card: Destroy that Equip Card(s).","1800","1600","Effect Monster","4","Warrior","EARTH","null","null","null","null","LCJW-EN030,LDK2-ENJ12,SS02-ENB10,RP02-EN025,DPBC-EN022,SD5-EN005,PSV-101,SDJ-012,DB1-EN204,BPT-012,PSV-E101,PSV-EN101,","Legendary Collection 4: Joey's World Mega Pack,Legendary Decks II,Speed Duel Starter Decks: Duelists of Tomorrow,Retro Pack 2,Duelist Pack: Battle City,Structure Deck: Warrior's Triumph,Pharaoh's Servant,Starter Deck: Joey,Dark Beginning 1,Collectible Tins 2003,Pharaoh's Servant,Pharaoh's Servant,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/423705.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/423705.jpg"
"1435851","Dragon Treasure","A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.","null","null","Spell Card","0","Equip","0","null","null","null","null","SDJ-038,LOB-092,LOB-E072,LOB-EN092,","Starter Deck: Joey,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/1435851.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1435851.jpg"
"3027001","Fake Trap","You can only activate this card when your opponent uses an effect of a Spell, Trap, or Effect Monster to destroy Trap Card(s) on your side of the field. Destroy this card as a substitute of those Trap Card(s) and the other Trap Card(s) are not destroyed. If a Set card(s) would have been destroyed, pick up and see the Set card(s).","null","null","Trap Card","0","Normal","0","null","null","null","null","DB1-EN164,SDJ-049,MRD-056,MRD-E056,MRD-EN056,","Dark Beginning 1,Starter Deck: Joey,Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/3027001.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3027001.jpg"
"3573512","Swordsman of Landstar","An amateur with a sword, this fairy warrior relies on its mysterious powers.","500","1200","Normal Monster","3","Warrior","EARTH","null","null","null","null","DB1-EN206,LCJW-EN010,LON-002,SDJ-002,LON-E002,LON-EN002,","Dark Beginning 1,Legendary Collection 4: Joey's World Mega Pack,Labyrinth of Nightmare,Starter Deck: Joey,Labyrinth of Nightmare,Labyrinth of Nightmare,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/3573512.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3573512.jpg"
"3819470","Seven Tools of the Bandit","When a Trap Card is activated: Pay 1000 LP; negate the activation, and if you do, destroy it.","null","null","Trap Card","0","Counter","0","null","null","null","null","5DS1-EN039,YS12-EN038,SS01-ENA18,YSDS-EN034,RP01-EN047,TU05-EN019,DLG1-EN048,SDJ-048,SYE-044,YS11-EN035,YS14-EN040,DB2-EN075,SDP-045,LCYW-EN089,MRD-129,MRD-EN129,MRD-E129,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Xyz Symphony,Speed Duel Starter Decks: Destiny Masters,Starter Deck: Syrus Truesdale,Retro Pack,Turbo Pack: Booster Five,Dark Legends,Starter Deck: Joey,Starter Deck: Yugi Evolution,Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Dark Beginning 2,Starter Deck: Pegasus,Legendary Collection 3: Yugi's World Mega Pack,Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/3819470.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/3819470.jpg"
"4031928","Change of Heart","Target 1 monster your opponent controls; take control of it until the End Phase.","null","null","Spell Card","0","Normal","0","null","null","null","null","SKE-032,SDJ-030,SDP-030,SYE-030,SDY-032,BP01-EN037,MRD-060,BP01-EN037,LCYW-EN124,DB1-EN168,MRD-E060,MRD-EN060,SDY-E030,","Starter Deck: Kaiba Evolution,Starter Deck: Joey,Starter Deck: Pegasus,Starter Deck: Yugi Evolution,Starter Deck: Yugi,Battle Pack: Epic Dawn,Metal Raiders,Battle Pack: Epic Dawn,Legendary Collection 3: Yugi's World Mega Pack,Dark Beginning 1,Metal Raiders,Metal Raiders,Starter Deck: Yugi,","Banned","Banned","Banned","https://storage.googleapis.com/ygoprodeck.com/pics/4031928.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4031928.jpg"
"4042268","Island Turtle","A huge turtle that is often mistaken for an island.","1100","2000","Normal Monster","4","Aqua","WATER","null","null","null","null","PSV-095,SDJ-005,PSV-EN095,PSV-E095,","Pharaoh's Servant,Starter Deck: Joey,Pharaoh's Servant,Pharaoh's Servant,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4042268.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4042268.jpg"
"4206964","Trap Hole","When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster; destroy that target.","null","null","Trap Card","0","Normal","0","null","null","null","Hole","5DS1-EN036,YS12-EN032,SDK-033,YSKR-EN042,YSDS-EN032,YS15-ENL24,YSDJ-EN034,DLG1-EN008,LCJW-EN073,YSYR-EN038,DT02-EN100,SDJ-043,SDP-041,YS14-EN031,SYE-041,SKE-042,DB1-EN118,YS15-ENF24,DL09-EN017,5DS3-EN030,YS11-EN034,RP01-EN007,LCYW-EN177,LOB-058,SDY-027,HL03-EN003,LOB-EN058,YS15-ENY17,LOB-E046,SDY-E025,SDK-E030,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Xyz Symphony,Starter Deck: Kaiba,Starter Deck: Kaiba Reloaded,Starter Deck: Syrus Truesdale,Dark Legion Starter Deck,Starter Deck: Jaden Yuki,Dark Legends,Legendary Collection 4: Joey's World Mega Pack,Starter Deck: Yugi Reloaded,Duel Terminal 2,Starter Deck: Joey,Starter Deck: Pegasus,Super Starter: Space-Time Showdown,Starter Deck: Yugi Evolution,Starter Deck: Kaiba Evolution,Dark Beginning 1,Saber Force Starter Deck,Duelist League 2010 participation cards,Starter Deck: Duelist Toolbox,Starter Deck: Dawn of the Xyz,Retro Pack,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Hobby League 3 participation card C,Legend of Blue Eyes White Dragon,2-Player Starter Deck: Yuya & Declan,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/4206964.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/4206964.jpg"
"5388481","Darkfire Soldier 1","An explosive expert from a special elite force.","1700","1150","Normal Monster","4","Pyro","FIRE","null","null","null","null","PSV-043,PSV-E043,SDJ-010,PSV-EN043,","Pharaoh's Servant,Pharaoh's Servant,Starter Deck: Joey,Pharaoh's Servant,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/5388481.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/5388481.jpg"
"7489323","Milus Radiant","As long as this card remains face-up on the field, increase the ATK of all EARTH monsters by 500 points and decrease the ATK of all WIND monsters by 400 points.","300","250","Effect Monster","1","Beast","EARTH","null","null","null","null","SDJ-014,DB2-EN065,MRD-110,MRD-E110,MRD-EN110,","Starter Deck: Joey,Dark Beginning 2,Metal Raiders,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/7489323.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7489323.jpg"
"12607053","Waboku","You take no battle damage from your opponent's monsters this turn. Your monsters cannot be destroyed by battle this turn.","null","null","Trap Card","0","Normal","0","null","null","null","null","SD7-EN026,SDCR-EN035,SYE-042,SDZW-EN036,SDY-040,SDJ-046,SDP-044,BP02-EN170,YSYR-EN039,BP02-EN170,DT03-EN100,SDY-E036,","Structure Deck: Invincible Fortress,Cyber Dragon Revolution Structure Deck,Starter Deck: Yugi Evolution,Zombie World Structure Deck,Starter Deck: Yugi,Starter Deck: Joey,Starter Deck: Pegasus,Battle Pack 2: War of the Giants,Starter Deck: Yugi Reloaded,Battle Pack 2: War of the Giants,Duel Terminal 3,Starter Deck: Yugi,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/12607053.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/12607053.jpg"
"15150365","White Magical Hat","When this card inflicts Battle Damage to your opponent's Life Points, your opponent discards 1 card randomly from his/her hand.","1000","700","Effect Monster","3","Spellcaster","LIGHT","null","null","null","null","DB1-EN151,MRD-016,SDJ-021,MRD-EN016,MRD-E016,","Dark Beginning 1,Metal Raiders,Starter Deck: Joey,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/15150365.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/15150365.jpg"
"15480588","Armored Lizard","A lizard with a very tough hide and a vicious bite.","1500","1200","Normal Monster","4","Reptile","EARTH","null","null","null","null","DB1-EN143,MRD-005,SDJ-009,MRD-EN005,MRD-E005,","Dark Beginning 1,Metal Raiders,Starter Deck: Joey,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/15480588.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/15480588.jpg"
"16430187","The Reliable Guardian","Increase 1 face-up monster's DEF by 700 points until the end of this turn.","null","null","Spell Card","0","Quick-Play","0","null","null","null","null","DB1-EN028,SRL-044,SYE-034,MRL-044,SRL-EN044,SDJ-033,MRL-E044,","Dark Beginning 1,Spell Ruler,Starter Deck: Yugi Evolution,Magic Ruler,Spell Ruler,Starter Deck: Joey,Spell Ruler,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/16430187.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/16430187.jpg"
"16768387","Big Eye","FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.","1200","1000","Flip Effect Monster","4","Fiend","DARK","null","null","null","null","BPW2-EN003,DB1-EN152,MRD-017,SDJ-018,LCYW-EN230,WGRT-EN003,MRD-E017,MRD-EN017,","War of the Giants: Round 2,Dark Beginning 1,Metal Raiders,Starter Deck: Joey,Legendary Collection 3: Yugi's World Mega Pack,War of the Giants Reinforcements,Metal Raiders,Metal Raiders,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/16768387.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/16768387.jpg"
"17814387","Reinforcements","Target face-up monster gains 500 ATK until the End Phase.","null","null","Trap Card","0","Normal","0","null","null","null","null","SDY-031,SDK-038,SDJ-044,SDP-042,DT01-EN049,YSD-EN032,DTP1-EN019,DTP1-EN019,SDY-E029,SDK-E035,","Starter Deck: Yugi,Starter Deck: Kaiba,Starter Deck: Joey,Starter Deck: Pegasus,Duel Terminal 1,Starter Deck 2006,Duel Terminal - Preview Wave 1,Duel Terminal - Preview Wave 2,Starter Deck: Yugi,Starter Deck: Kaiba,","null","null","null","https://storage.googleapis.com/ygoprodeck.com/pics/17814387.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/17814387.jpg"
