"id","name","type","desc","atk","def","level","race","attribute","archetype","set_tag","setcode","image_url","image_url_small"
"2370081","Steel Shell","Spell Card","A WATER monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.","","","","Equip","","","TP1-007,TP1-E007,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/2370081.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/2370081.jpg"
"7359741","Mechanicalchaser","Normal Monster","A hunter that relentlessly pursues its target by order of the Machine King.","1850","800","4","Machine","DARK","","DB2-EN093,SD10-EN005,LCYW-EN151,TP3-003,TP1-E001,TP1-001,","Dark Beginning 2,Structure Deck: Machine Re-Volt,Legendary Collection 3: Yugi's World Mega Pack,Tournament Pack: 3rd Season,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/7359741.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7359741.jpg"
"10262698","The Statue of Easter Island","Normal Monster","A stone monument from Easter Island that launches laser blasts from its rock-hewn lips.","1100","1400","4","Rock","EARTH","","DB2-EN088,TP1-019,TP1-E019,","Dark Beginning 2,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/10262698.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/10262698.jpg"
"18937875","Burning Spear","Spell Card","A FIRE monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.","","","","Equip","","","TP1-010,TP1-E010,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/18937875.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/18937875.jpg"
"20871001","Blue Medicine","Spell Card","Increase your Life Points by 400 points.","","","","Normal","","","TP1-E008,TP1-008,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/20871001.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/20871001.jpg"
"27324313","Wattkid","Normal Monster","A creature that electrocutes opponents with bolts of lightning.","1000","500","3","Thunder","LIGHT","Watt","TU04-EN012,DB2-EN085,TP1-016,TP1-E016,","Turbo Pack: Booster Four,Dark Beginning 2,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/27324313.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/27324313.jpg"
"28003512","The Judgement Hand","Normal Monster","An all-powerful hand that delivers ruthless attacks.","1400","700","3","Warrior","EARTH","","TP1-026,TP1-E026,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/28003512.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/28003512.jpg"
"33413638","Cockroach Knight","Effect Monster","When this card is sent to the Graveyard, it is returned to the top of the Deck.","800","900","3","Insect","EARTH","","TP1-029,TP1-E029,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/33413638.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/33413638.jpg"
"34290067","Corroding Shark","Normal Monster","A zombie shark that can deliver its lethal curse with a spell.","1100","700","3","Zombie","DARK","Shark ","TP1-020,TP1-E020,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/34290067.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/34290067.jpg"
"39897277","Elf's Light","Spell Card","A LIGHT monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.","","","","Equip","","","TP1-006,TP1-E006,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/39897277.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/39897277.jpg"
"41762634","Giant Flea","Normal Monster","A massive flea that feeds on the blood of its enemies.","1500","1200","4","Insect","EARTH","","TP1-017,TP1-E017,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/41762634.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/41762634.jpg"
"42883273","Wodan the Resident of the Forest","Effect Monster","Increase this card's ATK by 100 points for every Plant-Type monster that is face-up on the field.","900","1200","3","Warrior","EARTH","","TP1-027,TP1-E027,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/42883273.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/42883273.jpg"
"43487744","White Hole","Trap Card","Activate only when your opponent activates ""Dark Hole"". The monsters you control are not destroyed.","","","","Normal","","Hole","LCKC-EN102,TU04-EN020,TP3-009,TP1-E005,TP1-005,","Legendary Collection Kaiba Mega Pack,Turbo Pack: Booster Four,Tournament Pack: 3rd Season,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/43487744.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/43487744.jpg"
"48305365","Axe Raider","Normal Monster","An axe-wielding monster of tremendous strength and agility.","1700","1150","4","Warrior","EARTH","","5DS1-EN003,LDK2-ENJ07,DB2-EN092,LCJW-EN007,TP3-006,TP1-E002,TP1-002,","Starter Deck: Yu-Gi-Oh! 5D's,Legendary Decks II,Dark Beginning 2,Legendary Collection 4: Joey's World Mega Pack,Tournament Pack: 3rd Season,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/48305365.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/48305365.jpg"
"49791927","Tiger Axe","Normal Monster","A fast and powerful axe-wielding beast-warrior.","1300","1100","4","Beast-Warrior","EARTH","","MIL1-EN031,DB2-EN091,LCJW-EN008,TP1-012,TP1-E012,","Millennium Pack,Dark Beginning 2,Legendary Collection 4: Joey's World Mega Pack,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/49791927.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/49791927.jpg"
