"id","name","type","desc","atk","def","level","race","attribute","scale","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"1248895","Chain Destruction","Trap Card","When a monster(s) with 2000 or less ATK is Summoned: Target 1 of them; destroy all cards with that name in its controller's hand and Main Deck.","","","","Normal","","","","LCJW-EN293,RP02-EN004,YGLD-ENB38,DB1-EN070,LCYW-EN094,PSV-006,TP4-004,PSV-E006,PSV-EN006,","Legendary Collection 4: Joey's World Mega Pack,Retro Pack 2,Yugi's Legendary Decks,Dark Beginning 1,Legendary Collection 3: Yugi's World Mega Pack,Pharaoh's Servant,Tournament Pack 4,Pharaoh's Servant,Pharaoh's Servant,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/1248895.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1248895.jpg"
"1357146","Ronintoadin","Effect Monster","Cannot be used as a Synchro Material. This card's name becomes ""Des Frog"" while it is on the field. If this card is in your Graveyard: You can banish 1 ""Frog"" monster from your Graveyard; Special Summon this card.","100","2000","2","Aqua","WATER","","Frog","TSHD-EN033,OP04-EN005,","The Shining Darkness,OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/1357146.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1357146.jpg"
"1845204","Instant Fusion","Spell Card","Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also is destroyed during the End Phase. (This Special Summon is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.","","","","Normal","","","","CP07-EN017,LED2-EN048,CDIP-EN040,AP02-EN020,FUEN-EN042,DT04-EN093,AP08-EN010,LCGX-EN095,RYMP-EN028,OP04-EN002,","Champion Pack: Game Seven,Legendary Duelists: Ancient Millennium,Cyberdark Impact,Astral Pack Two,Fusion Enforcers,Duel Terminal 4,Astral Pack Eight,Legendary Collection 2: The Duel Academy Years Mega Pack,Ra Yellow Mega Pack,OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/1845204.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/1845204.jpg"
"9929398","Blackwing - Gofu the Vague Shadow","Tuner Monster","Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) while you control no monsters. When this card is Special Summoned from the hand: You can Special Summon 2 ""Vague Shadow Tokens"" (Winged Beast-Type/DARK/Level 1/ATK 0/DEF 0), but they cannot be Tributed or be used as Synchro Material. You can banish this card and 1 or more face-up non-Tuners you control, then target 1 ""Blackwing"" Synchro Monster in your Graveyard whose Level equals the total Levels the banished monsters had on the field; Special Summon it, and if you do, it is treated as a Tuner.","0","0","5","Winged Beast","DARK","","Blackwing","TDIL-EN013,OP04-EN011,MP17-EN068,","The Dark Illusion,OTS Tournament Pack 4,2017 Mega-Tin Mega Pack,","Banned","Banned","","https://storage.googleapis.com/ygoprodeck.com/pics/9929398.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/9929398.jpg"
"10963799","Barrier Statue of the Torrent","Effect Monster","Neither player can Special Summon monsters, except WATER monsters.","1000","1000","4","Aqua","WATER","","","OP04-EN017,CDIP-EN019,","OTS Tournament Pack 4,Cyberdark Impact,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/10963799.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/10963799.jpg"
"14148099","B.E.S. Big Core","Effect Monster","If this card is Normal Summoned: Place 3 counters on it. Cannot be destroyed by battle. At the end of the Damage Step, if this card battled: Remove 1 counter from this card. If you cannot, destroy it.","2300","1100","6","Machine","DARK","","B.E.S.","OP04-EN016,RDS-EN030,RDS-EN030,DR3-EN090,","OTS Tournament Pack 4,Rise of Destiny,Rise of Destiny,Dark Revelation Volume 3,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/14148099.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/14148099.jpg"
"16970158","Call of the Grave","Trap Card","When your opponent activates ""Monster Reborn"": Negate its effect.","","","","Normal","","","","LCKC-EN103,TP4-009,WP11-EN018,TP2-005,","Legendary Collection Kaiba Mega Pack,Tournament Pack 4,World Championship 2011 Card Pack,Tournament Pack: 2nd Season,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/16970158.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/16970158.jpg"
"17449108","Nobleman of Extermination","Spell Card","Select, destroy, and remove from play 1 face-down Spell or Trap Card. If it was a Trap Card, both players must remove from play all copies of that card from their Decks.","","","","Normal","","","","DB1-EN089,PSV-035,TP4-016,DT01-EN038,DL11-EN015,PSV-E035,PSV-EN035,DTP1-EN012,DTP1-EN012,","Dark Beginning 1,Pharaoh's Servant,Tournament Pack 4,Duel Terminal 1,Duelist League 2 participation cards,Pharaoh's Servant,Pharaoh's Servant,Duel Terminal - Preview Wave 1,Duel Terminal - Preview Wave 2,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/17449108.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/17449108.jpg"
"21015833","Hayabusa Knight","Effect Monster","This card can make a second attack during each Battle Phase.","1000","700","3","Warrior","EARTH","","","5DS3-EN007,TP4-019,LCJW-EN026,DEM1-EN006,PSV-086,DB1-EN196,PSV-E086,PSV-EN086,","Starter Deck: Duelist Toolbox,Tournament Pack 4,Legendary Collection 4: Joey's World Mega Pack,Demo Pack,Pharaoh's Servant,Dark Beginning 1,Pharaoh's Servant,Pharaoh's Servant,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/21015833.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/21015833.jpg"
"21350571","Horn of the Phantom Beast","Trap Card","Target 1 Beast or Beast-Warrior-Type monster you control; equip this card to that target. It gains 800 ATK. If the equipped monster destroys your opponent's monster by battle and sends it to the Graveyard: Draw 1 card.","","","","Normal","","","","DASA-EN060,DREV-EN075,SDOK-EN034,OP04-EN027,DL15-EN020,TU07-EN005,","Dark Saviors,Duelist Revolution,Onslaught of the Fire Kings Structure Deck,OTS Tournament Pack 4,Duelist League 15 participation cards,Turbo Pack: Booster Seven,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/21350571.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/21350571.jpg"
"22046459","Megamorph","Spell Card","While your LP is lower than your opponent's, the equipped monster's ATK becomes double its original ATK. While your LP is higher, the equipped monster's ATK becomes half its original ATK.","","","","Equip","","","","DT04-EN044,DLG1-EN062,SKE-037,SDCR-EN024,SDKS-EN027,RP01-EN061,SD09-EN024,BPW2-EN069,DB1-EN037,MRL-061,WGRT-EN069,SRL-EN061,SRL-061,TP4-003,MRL-E061,","Duel Terminal 4,Dark Legends,Starter Deck: Kaiba Evolution,Cyber Dragon Revolution Structure Deck,Structure Deck: Seto Kaiba,Retro Pack,Structure Deck: Dinosaur's Rage,War of the Giants: Round 2,Dark Beginning 1,Magic Ruler,War of the Giants Reinforcements,Spell Ruler,Spell Ruler,Tournament Pack 4,Spell Ruler,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/22046459.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/22046459.jpg"
"22567609","Nimble Momonga","Effect Monster","When this card is destroyed by battle and sent to the Graveyard: Gain 1000 Life Points, then you can Special Summon any number of ""Nimble Momongas"" from your Deck in face-down Defense Position.","1000","100","2","Beast","EARTH","","Nimble","SRL-086,DLDI-EN002,TP4-014,DT05-EN008,DLG1-EN072,LCYW-EN235,DB1-EN051,RP01-EN071,MRL-086,SRL-EN086,MRL-E086,CP02-EN002,","Spell Ruler,Duelist League Demo 2010,Tournament Pack 4,Duel Terminal 5a,Dark Legends,Legendary Collection 3: Yugi's World Mega Pack,Dark Beginning 1,Retro Pack,Magic Ruler,Spell Ruler,Spell Ruler,Champion Pack: Game Two,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/22567609.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/22567609.jpg"
"23289281","Karate Man","Effect Monster","You can double the original ATK of this card once per turn. If you used this effect, destroy this card during the End Phase.","1000","1000","3","Warrior","EARTH","","","DB1-EN049,TP4-013,MRL-083,SDJ-013,SRL-083,SRL-EN083,MRL-E083,","Dark Beginning 1,Tournament Pack 4,Magic Ruler,Starter Deck: Joey,Spell Ruler,Spell Ruler,Spell Ruler,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/23289281.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/23289281.jpg"
"23401839","Senju of the Thousand Hands","Effect Monster","When this card is Normal or Flip Summoned: You can add 1 Ritual Monster from your Deck to your hand.","1400","1000","4","Fairy","LIGHT","","","MRL-080,SRL-EN080,SRL-080,DLG1-EN069,RP01-EN068,AP07-EN016,DB1-EN046,TP4-012,SBLS-EN017,DT05-EN051,MRL-E080,","Magic Ruler,Spell Ruler,Spell Ruler,Dark Legends,Retro Pack,Astral Pack Seven,Dark Beginning 1,Tournament Pack 4,Speed Duel: Arena of Lost Souls,Duel Terminal 5b,Spell Ruler,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/23401839.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/23401839.jpg"
"26725158","Exile of the Wicked","Spell Card","Destroy all face-up Fiend-Type monsters on the field.","","","","Normal","","","","LCKC-EN100,GLD2-EN034,TP4-008,TP2-004,","Legendary Collection Kaiba Mega Pack,Gold Series 2009,Tournament Pack 4,Tournament Pack: 2nd Season,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/26725158.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/26725158.jpg"
